loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,91.38718,-0.12298663,1.23,0.0,2.2128224e-06,2.4051430225372314
2,11,484.1448,-0.10388941,6.45,0.0,1.24797225e-05,0.002885103225708008
3,21,796.12195,-0.081210725,10.5,0.0,2.0287931e-05,0.0028083324432373047
4,31,1068.1802,-0.081210725,13.96,0.0,2.7298927e-05,0.0029304027557373047
5,41,1316.1354,-0.07754871,17.02,0.0,3.4198165e-05,0.0028336048126220703
6,51,1545.696,-0.050354447,19.85,0.0,4.005432e-05,0.0028645992279052734
7,61,1733.9655,-0.050354447,22.1,0.0,4.477054e-05,0.002906322479248047
8,71,1921.1113,-0.050354447,24.32,0.0,4.915893e-05,0.0029709339141845703
9,81,2110.1387,-0.050354447,26.55,0.0,5.3979456e-05,0.002911090850830078
10,91,2284.7974,-0.050354447,28.599998,0.0,5.7742e-05,0.0028967857360839844
11,101,2431.9634,-0.050354447,30.269999,0.0,6.0260296e-05,0.0028595924377441406
12,111,2588.8555,-0.040339153,32.059998,0.0,6.441027e-05,0.0028352737426757812
13,121,2731.7705,-0.040339153,33.67,0.0,6.7949295e-05,0.0028514862060546875
14,131,2874.1152,-0.040339153,35.27,0.0,7.133931e-05,0.005177497863769531
15,141,3016.0952,-0.040339153,36.87,0.0,7.469952e-05,0.0029320716857910156
16,151,3142.8628,-0.040339153,38.28,0.0,7.815659e-05,0.0038139820098876953
17,161,3272.0728,-0.040339153,39.71,0.0,8.1561506e-05,0.0029621124267578125
18,171,3410.8743,-0.040339153,41.25,0.0,8.524209e-05,0.0029153823852539062
19,181,3514.2832,-0.03430713,42.379997,0.0,8.7574124e-05,0.0029451847076416016
20,191,3622.2007,-0.03430713,43.53,0.0,8.961558e-05,0.0029861927032470703
21,201,3729.708,-0.03430713,44.68,0.0,9.225309e-05,0.002946615219116211
22,211,3834.018,-0.03430713,45.8,0.0,9.5032156e-05,0.0029027462005615234
23,221,3940.2354,-0.03430713,46.95,0.0,9.7736716e-05,0.002886533737182617
24,231,4048.7983,-0.03430713,48.11,0.0,0.000100530684,0.0028972625732421875
25,241,4142.6133,-0.03430713,49.1,0.0,0.00010319054,0.002917051315307617
26,251,4229.0522,-0.03430713,50.0,0.0,0.00010447949,0.0029442310333251953
27,261,4305.6973,-0.03430713,50.78,0.0,0.000106960535,0.002969980239868164
28,271,4391.964,-0.03430713,51.649998,0.0,0.00010983646,0.0029811859130859375
