loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,88.673256,-0.118388355,1.1899999,1.115787,5.3027225,3.0784072875976562
2,11,483.12982,-0.10828363,6.46,5.923526,29.102434,0.005075931549072266
3,21,818.7446,-0.09107004,10.79,9.817253,48.614212,0.005449771881103516
4,31,1099.5911,-0.09107004,14.349999,13.019599,64.5676,0.007849693298339844
5,41,1356.5521,-0.089703836,17.51,15.867153,78.89956,0.00541234016418457
6,51,1588.1425,-0.081963465,20.34,18.400492,91.65815,0.003881216049194336
7,61,1805.0828,-0.07114111,22.96,20.75721,103.64418,0.0036058425903320312
8,71,2004.3315,-0.07114111,25.33,23.02371,113.77641,0.0047953128814697266
9,81,2192.2812,-0.07114111,27.58,25.043243,123.70618,0.005572319030761719
10,91,2352.7742,-0.07114111,29.439999,26.62204,132.26541,0.003620624542236328
11,101,2521.8792,-0.07114111,31.369999,28.335712,140.99536,0.005627155303955078
12,111,2664.2322,-0.07114111,32.989998,29.771673,148.5076,0.0056917667388916016
13,121,2822.2866,-0.065895595,34.739998,31.264091,156.43652,0.0036454200744628906
14,131,2964.044,-0.06406176,36.32,32.686954,163.53584,0.005663633346557617
15,141,3095.6562,-0.059493765,37.78,34.04882,170.16992,0.0037314891815185547
16,151,3227.3062,-0.059493765,39.239998,35.30281,176.65405,0.005701303482055664
17,161,3335.3484,-0.04898273,40.399998,36.42086,181.92627,0.003679037094116211
18,171,3452.31,-0.04898273,41.69,37.551727,187.56992,0.003584623336791992
19,181,3561.2202,-0.0447689,42.829998,38.54834,192.43481,0.003495931625366211
20,191,3673.1523,-0.0447689,44.01,39.596966,197.73984,0.003432035446166992
21,201,3791.3145,-0.0447689,45.289997,40.81446,203.13011,0.0050961971282958984
22,211,3889.1152,-0.0447689,46.34,41.74823,207.84607,0.005569934844970703
23,221,4001.1719,-0.04313878,47.55,42.882103,213.36945,0.0034470558166503906
24,231,4090.8035,-0.04313878,48.489998,43.61835,217.80185,0.003520488739013672
25,241,4188.0874,-0.039519977,49.51,44.556313,222.60715,0.005674123764038086
26,251,4277.3213,-0.03878072,50.42,45.368347,226.7929,0.007371425628662109
27,261,4362.7163,-0.03878072,51.309998,46.193275,230.80544,0.0036160945892333984
28,271,4443.0747,-0.037529454,52.149998,46.951904,234.52924,0.003719806671142578
29,281,4523.779,-0.037529454,52.969997,47.735893,238.13318,0.003634929656982422
30,291,4605.6875,-0.037529454,53.82,48.5205,241.89177,0.0035200119018554688
31,301,4692.068,-0.037529454,54.71,49.25586,245.96576,0.0036673545837402344
32,311,4782.5527,-0.03713167,55.67,50.1636,250.4139,0.003643035888671875
33,321,4845.6685,-0.036664043,56.289997,50.726875,253.14879,0.0036253929138183594
34,331,4935.1777,-0.036664043,57.21,51.606445,257.42102,0.0035729408264160156
35,341,5006.794,-0.036664043,57.93,52.348175,260.86603,0.003728628158569336
36,351,5080.178,-0.036664043,58.67,53.06295,264.5127,0.0036253929138183594
37,361,5155.4375,-0.036664043,59.41,53.696594,267.5795,0.003783702850341797
38,371,5209.2627,-0.036664043,59.93,54.12808,269.91245,0.003653287887573242
39,381,5270.4497,-0.036205735,60.52,54.62532,272.51544,0.005574941635131836
40,391,5326.654,-0.036205735,61.059998,55.07887,275.03925,0.0034322738647460938
41,401,5387.796,-0.036205735,61.66,55.59046,277.58704,0.003484010696411133
42,411,5450.1016,-0.036205735,62.28,56.150024,280.5845,0.005707263946533203
43,421,5508.9556,-0.036205735,62.859997,56.73905,282.77588,0.0036258697509765625
44,431,5563.45,-0.036205735,63.379997,57.24942,285.12268,0.0035941600799560547
45,441,5622.9946,-0.036205735,63.969997,57.773586,287.68732,0.00568699836730957
46,451,5664.848,-0.036205735,64.36,58.13407,289.71466,0.007880449295043945
47,461,5719.473,-0.036205735,64.9,58.523575,292.2483,0.003445863723754883
48,471,5762.758,-0.025153378,65.31,58.805508,294.0491,0.005425691604614258
49,481,5817.266,-0.025153378,65.84,59.229073,296.40915,0.005469799041748047
50,491,5856.4336,-0.025153378,66.2,59.556038,298.05188,0.0055141448974609375
51,501,5906.3843,-0.025153378,66.68,60.047043,300.10333,0.0035762786865234375
52,511,5947.9688,-0.025153378,67.07,60.353905,301.9173,0.0034880638122558594
53,521,5997.377,-0.025153378,67.54,60.745453,304.2505,0.009118080139160156
54,531,6030.3623,-0.025153378,67.84,61.067314,305.80203,0.0035827159881591797
55,541,6073.036,-0.025153378,68.229996,61.42749,307.31958,0.003647327423095703
56,551,6123.0947,-0.025153378,68.72,61.856575,309.51932,0.0036878585815429688
57,561,6165.7734,-0.025153378,69.13,62.121204,311.6187,0.0034766197204589844
58,571,6211.6255,-0.025153378,69.57,62.553093,313.70648,0.0035839080810546875
59,581,6240.784,-0.025153378,69.83,62.800125,314.6733,0.003549814224243164
60,591,6269.5156,-0.018067472,70.08,62.961945,315.72748,0.0035343170166015625
61,601,6304.036,-0.018067472,70.4,63.284332,316.9861,0.0036094188690185547
62,611,6333.976,-0.018067472,70.67,63.53423,318.30405,0.0036575794219970703
63,621,6361.0205,-0.018067472,70.9,63.75801,319.22424,0.0035469532012939453
64,631,6390.072,-0.018067472,71.15,63.954586,320.16467,0.0037038326263427734
65,641,6422.421,-0.018067472,71.45,64.24603,321.5254,0.008033990859985352
66,651,6452.392,-0.018067472,71.72,64.47684,322.88544,0.0036385059356689453
67,661,6485.6035,-0.018067472,72.04,64.75604,324.49585,0.006190776824951172
68,671,6515.0127,-0.018067472,72.31,64.981476,325.5127,0.003393411636352539
69,681,6547.588,-0.018067472,72.61,65.38156,326.84662,0.003704071044921875
70,691,6568.921,-0.018067472,72.79,65.51868,327.58038,0.0036919116973876953
71,701,6595.1,-0.018067472,73.02,65.72787,328.59174,0.008124351501464844
72,711,6619.958,-0.018067472,73.24,65.91044,329.48108,0.008841753005981445
73,721,6644.42,-0.018067472,73.46,66.15986,330.2612,0.0036857128143310547
74,731,6660.617,-0.018067472,73.59,66.194435,330.9235,0.005295276641845703
75,741,6686.0005,-0.018067472,73.81,66.39867,332.04672,0.0034410953521728516
76,751,6715.5493,-0.018067472,74.08,66.60506,333.24698,0.0055544376373291016
77,761,6741.947,-0.018067472,74.32,66.79675,334.43103,0.005308628082275391
78,771,6766.0234,-0.018067472,74.53,66.976295,335.3902,0.005327939987182617
79,781,6786.1797,-0.018067472,74.7,67.04346,336.22607,0.0036115646362304688
80,791,6808.097,-0.018067472,74.89,67.264046,336.78687,0.0045816898345947266
81,801,6830.988,-0.016408088,75.09,67.42241,337.4299,0.005590677261352539
82,811,6849.0146,-0.016408088,75.24,67.454575,338.3429,0.005335330963134766
83,821,6866.602,-0.016408088,75.39,67.60445,338.78833,0.007372856140136719
84,831,6884.6206,-0.016408088,75.54,67.70021,339.5916,0.00476837158203125
85,841,6898.781,-0.016408088,75.65,67.76982,340.41104,0.0035583972930908203
86,851,6916.032,-0.016408088,75.79,67.91006,340.87878,0.003859996795654297
87,861,6928.3457,-0.010048673,75.88,67.98714,341.18817,0.003469228744506836
88,871,6945.196,-0.010048673,76.02,68.123116,342.13696,0.008538484573364258
89,881,6960.97,-0.010048673,76.15,68.30139,342.40863,0.004327535629272461
90,891,6978.3413,-0.010048673,76.299995,68.40004,343.19,0.005671262741088867
91,901,6992.3853,-0.010048673,76.409996,68.5056,343.71606,0.0036487579345703125
92,911,7009.8496,-0.010048673,76.56,68.57637,344.43945,0.0036084651947021484
93,921,7020.896,-0.010048673,76.64,68.65702,344.8356,0.0035724639892578125
94,931,7030.202,-0.010048673,76.7,68.642746,345.08612,0.0037152767181396484
95,941,7044.6626,-0.010048673,76.82,68.73753,345.52872,0.003728151321411133
96,951,7057.9336,-0.010048673,76.92,68.83496,346.03235,0.003579378128051758
97,961,7070.9873,-0.010048673,77.02,68.908264,346.84912,0.007161617279052734
98,971,7080.8726,-0.010048673,77.09,68.92913,347.4596,0.009648323059082031
99,981,7094.247,-0.010048673,77.2,69.012405,347.67886,0.0036940574645996094
100,991,7108.214,-0.010048673,77.32,69.06314,348.5749,0.007864236831665039
101,1001,7126.444,-0.010048673,77.479996,69.17781,349.27618,0.0035665035247802734
102,1011,7136.609,-0.010048673,77.59,69.25061,349.5288,0.014202356338500977
103,1021,7145.234,-0.010048673,77.68,69.31144,349.77127,0.02337789535522461
104,1031,7156.1553,-0.010048673,77.799995,69.400505,350.09204,0.014403104782104492
105,1041,7166.605,-0.010048673,77.909996,69.475975,350.34808,0.014121294021606445
106,1051,7174.45,-0.010048673,77.99,69.54113,350.48535,0.009227991104125977
107,1061,7183.9766,-0.010048673,78.09,69.62883,350.77832,0.013350248336791992
108,1071,7192.3726,-0.010048673,78.18,69.690285,351.03656,0.009256362915039062
