loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,91.38718,-0.12298663,1.23,0.0,8.802861e-06,2.0342259407043457
2,11,484.1448,-0.10388941,6.45,0.0,4.7247857e-05,0.7706482410430908
3,21,796.12195,-0.081210725,10.5,0.0,7.833168e-05,0.7727668285369873
4,31,1068.1802,-0.081210725,13.959999,0.0,0.00010457635,0.7756578922271729
5,41,1316.1354,-0.07754871,17.019999,0.0,0.00013044477,0.7711286544799805
6,51,1545.696,-0.050354447,19.849998,0.0,0.00015226007,0.7695214748382568
7,61,1733.9655,-0.050354447,22.1,0.0,0.00017028488,0.7812776565551758
8,71,1921.1113,-0.050354447,24.32,0.0,0.00018762238,0.780515193939209
9,81,2110.1387,-0.050354447,26.549997,0.0,0.00020754151,0.7758157253265381
10,91,2284.7974,-0.050354447,28.599998,0.0,0.00022396632,0.776742696762085
11,101,2431.9634,-0.050354447,30.269999,0.0,0.00023697503,0.7819578647613525
12,111,2588.8555,-0.040339153,32.06,0.0,0.00025012344,0.7793364524841309
13,121,2731.7705,-0.040339153,33.67,0.0,0.00026416034,1.2966432571411133
14,131,2874.1152,-0.040339153,35.27,0.0,0.00027762726,1.3150660991668701
15,141,3016.0952,-0.040339153,36.87,0.0,0.00029082783,0.7789011001586914
16,151,3142.8628,-0.040339153,38.28,0.0,0.0003040228,0.7964873313903809
17,161,3272.0728,-0.040339153,39.71,0.0,0.00031784363,0.784013032913208
18,171,3410.8743,-0.040339153,41.25,0.0,0.0003299024,0.7800285816192627
19,181,3514.2832,-0.03430713,42.379997,0.0,0.00033887662,0.8194842338562012
20,191,3622.2007,-0.03430713,43.53,0.0,0.0003486853,0.7857508659362793
21,201,3729.708,-0.03430713,44.68,0.0,0.00035762973,0.7871103286743164
22,211,3834.018,-0.03430713,45.8,0.0,0.00036763772,0.7834961414337158
23,221,3940.2354,-0.03430713,46.949997,0.0,0.000377208,0.7800588607788086
24,231,4048.7983,-0.03430713,48.11,0.0,0.0003863182,0.8189988136291504
25,241,4142.6133,-0.03430713,49.1,0.0,0.00039407425,0.7838761806488037
26,251,4229.0522,-0.03430713,50.0,0.0,0.00040013902,0.7804157733917236
27,261,4305.6973,-0.03430713,50.78,0.0,0.00040577538,0.7787199020385742
28,271,4391.964,-0.03430713,51.65,0.0,0.00041369162,0.7835369110107422
29,281,4474.7725,-0.027149497,52.489998,0.0,0.00042136386,0.787747859954834
30,291,4549.682,-0.027149497,53.249996,0.0,0.00042812154,0.7822458744049072
