loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,609.45325,-0.08423292,8.16,-inf,-inf,1.8151912689208984
2,11,2218.3843,-0.072517276,28.039999,-inf,-inf,0.01721048355102539
3,21,3255.646,-0.057022303,39.719997,-inf,-inf,0.016576051712036133
4,31,4023.6514,-0.0321512,47.87,-inf,-inf,0.0164794921875
5,41,4666.2144,-0.0321512,54.55,-inf,-inf,0.015558958053588867
6,51,5178.306,-0.03138607,59.67,-inf,-inf,0.015552759170532227
7,61,5570.3477,-0.03138607,63.46,-inf,-inf,0.014193534851074219
8,71,5877.4756,-0.024138834,66.26,-inf,-inf,0.015305280685424805
9,81,6136.5615,-0.024138834,68.58,-inf,-inf,0.015082597732543945
10,91,6318.7734,-0.019228932,70.11,-inf,-inf,0.015445709228515625
11,101,6500.0645,-0.009244697,71.65,-inf,-inf,0.015177726745605469
12,111,6626.6904,-0.009244697,72.65,-inf,-inf,0.015241622924804688
13,121,6715.4966,-0.009244697,73.29,-inf,-inf,0.014330148696899414
14,131,6811.4497,-0.009244697,74.03,-inf,-inf,0.01499485969543457
15,141,6888.913,-0.009244697,74.59,-inf,-inf,0.015373468399047852
16,151,6946.9775,-0.009244697,74.979996,-inf,-inf,0.014732122421264648
17,161,6993.7026,-0.009244697,75.259995,-inf,-inf,0.014364957809448242
18,171,7038.953,-0.0,75.57,-inf,-inf,0.014221429824829102
19,181,7077.2104,-0.0,75.83,-inf,-inf,0.01569509506225586
20,191,7111.52,-0.0,76.06,-inf,-inf,0.014818429946899414
21,201,7147.8413,-0.0,76.32,-inf,-inf,0.01515054702758789
22,211,7176.9893,-0.0,76.509995,-inf,-inf,0.01474308967590332
23,221,7205.4,-0.0,76.71,-inf,-inf,0.01520395278930664
24,231,7231.079,-0.0,76.9,-inf,-inf,0.014850139617919922
25,241,7251.8184,-0.0,77.04,-inf,-inf,0.014767169952392578
26,251,7275.963,-0.0,77.22,-inf,-inf,0.014927387237548828
27,261,7293.3984,-0.0,77.34,-inf,-inf,0.015054702758789062
28,271,7308.1787,-0.0,77.43,-inf,-inf,0.015112876892089844
29,281,7320.1055,-0.0,77.5,-inf,-inf,0.014552116394042969
30,291,7331.514,-0.0,77.57,-inf,-inf,0.014242887496948242
31,301,7342.2397,-0.0,77.64,-inf,-inf,0.014398574829101562
32,311,7356.9863,-0.0,77.75,-inf,-inf,0.014310121536254883
33,321,7366.87,-0.0,77.81,-inf,-inf,0.014469146728515625
34,331,7374.3765,-0.0,77.85,-inf,-inf,0.014380216598510742
35,341,7382.416,-0.0,77.9,-inf,-inf,0.014285802841186523
36,351,7389.751,-0.0,77.939995,-inf,-inf,0.015952110290527344
37,361,7400.352,-0.0,78.02,-inf,-inf,0.015350580215454102
38,371,7405.906,-0.0,78.049995,-inf,-inf,0.015315532684326172
39,381,7415.8438,-0.0,78.13,-inf,-inf,0.01604461669921875
40,391,7422.075,-0.0,78.17,-inf,-inf,0.014643192291259766
41,401,7430.783,-0.0,78.24,-inf,-inf,0.015339851379394531
42,411,7438.826,-0.0,78.299995,-inf,-inf,0.014910221099853516
43,421,7442.0044,-0.0,78.31,-inf,-inf,0.015958309173583984
44,431,7447.7104,-0.0,78.35,-inf,-inf,0.01558828353881836
45,441,7449.7783,-0.0,78.35,-inf,-inf,0.015379905700683594
46,451,7454.3784,-0.0,78.38,-inf,-inf,0.014990568161010742
47,461,7459.89,-0.0,78.42,-inf,-inf,0.01401662826538086
48,471,7461.637,-0.0,78.42,-inf,-inf,0.013999700546264648
49,481,7463.2554,-0.0,78.42,-inf,-inf,0.014650344848632812
50,491,7465.7983,-0.0,78.43,-inf,-inf,0.01471853256225586
51,501,7468.2344,-0.0,78.439995,-inf,-inf,0.015090227127075195
52,511,7544.6587,0.015074588,79.25,-inf,-inf,0.028543472290039062
53,521,7616.2866,0.015074588,80.02,-inf,-inf,0.027928590774536133
54,531,7675.0615,0.015074588,80.65,-inf,-inf,0.029709339141845703
55,541,7726.7554,0.015074588,81.2,-inf,-inf,0.03262472152709961
56,551,7768.061,0.015074588,81.64,-inf,-inf,0.029066801071166992
