loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,641.0628,-0.08456239,8.639999,-inf,-inf,4.932670593261719
2,11,2327.5698,-0.059003912,29.599998,-inf,-inf,0.02826094627380371
3,21,3444.558,-0.059003912,42.29,-inf,-inf,0.020459651947021484
4,31,4323.182,-0.047101878,51.75,-inf,-inf,0.02160477638244629
5,41,5020.9775,-0.025121015,59.02,-inf,-inf,0.03274059295654297
6,51,5578.6006,-0.025121015,64.6,-inf,-inf,0.03522610664367676
7,61,6067.6724,-0.025121015,69.4,-inf,-inf,0.034688711166381836
8,71,6452.9727,-0.022265892,73.07,-inf,-inf,0.034693241119384766
9,81,6785.3267,-0.021378499,76.14,-inf,-inf,0.02808237075805664
10,91,7055.624,-0.021378499,78.6,-inf,-inf,0.03500103950500488
11,101,7272.94,-0.013633957,80.53,-inf,-inf,0.03388357162475586
12,111,7445.83,-0.013633957,81.97,-inf,-inf,0.03648257255554199
13,121,7595.642,-0.00909867,83.22,-inf,-inf,0.024167299270629883
14,131,7734.4424,-0.00909867,84.369995,-inf,-inf,0.03643798828125
15,141,7852.3535,-0.0002747088,85.35,-inf,-inf,0.03486466407775879
16,151,7951.302,0.0031336574,86.14,-inf,-inf,0.033574581146240234
17,161,8021.3433,0.0031336574,86.63,-inf,-inf,0.021799564361572266
18,171,8107.945,0.0031336574,87.33,-inf,-inf,0.03810548782348633
19,181,8177.127,0.004252644,87.85,-inf,-inf,0.020417213439941406
20,191,8235.701,0.004252644,88.29,-inf,-inf,0.034813642501831055
21,201,8288.016,0.004252644,88.68,-inf,-inf,0.02842998504638672
22,211,8337.731,0.004252644,89.049995,-inf,-inf,0.02151966094970703
23,221,8376.838,0.004252644,89.32,-inf,-inf,0.021562576293945312
24,231,8423.14,0.004252644,89.689995,-inf,-inf,0.034021615982055664
25,241,8453.714,0.004252644,89.89,-inf,-inf,0.03582954406738281
26,251,8484.89,0.004252644,90.1,-inf,-inf,0.03392314910888672
27,261,8519.251,0.004252644,90.35,-inf,-inf,0.035180091857910156
28,271,8558.396,0.004252644,90.67,-inf,-inf,0.03474831581115723
29,281,8586.886,0.004252644,90.88,-inf,-inf,0.027870655059814453
30,291,8613.226,0.004252644,91.07,-inf,-inf,0.034456491470336914
31,301,8638.587,0.0049791215,91.25,-inf,-inf,0.03703641891479492
