loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,609.45325,-0.08423292,8.16,0.0,6.218627e-05,1.6006717681884766
2,11,2218.3843,-0.072517276,28.039997,0.0,0.00021558255,0.613525390625
3,21,3255.646,-0.057022303,39.719997,0.0,0.00031062216,0.5861296653747559
4,31,4023.6514,-0.0321512,47.87,0.0,0.00037794374,0.5838789939880371
5,41,4666.2144,-0.0321512,54.55,0.0,0.0004295595,0.5771636962890625
6,51,5177.4834,-0.03138607,59.66,0.0,0.00047027692,0.5897951126098633
7,61,5569.5254,-0.03138607,63.449997,0.0,0.0005040951,0.5589232444763184
8,71,5876.6123,-0.024138834,66.25,0.0,0.0005284436,0.5787017345428467
9,81,6136.5615,-0.024138834,68.579994,0.0,0.0005510822,0.5700852870941162
10,91,6318.7734,-0.019228932,70.11,0.0,0.00055871904,0.5622348785400391
11,101,6500.0645,-0.009244697,71.65,0.0,0.0005726982,0.5824403762817383
12,111,6625.788,-0.009244697,72.64,0.0,0.00057976786,0.5948200225830078
13,121,6715.4966,-0.009244697,73.28999,0.0,0.00057666376,0.5602946281433105
14,131,6811.4497,-0.009244697,74.03,0.0,0.00058313925,0.557485818862915
15,141,6888.913,-0.009244697,74.59,0.0,0.0005848827,0.5855929851531982
16,151,6946.041,-0.009244697,74.97,0.0,0.0005841339,0.5718052387237549
17,161,6993.7026,-0.009244697,75.259995,0.0,0.0005886918,0.565197229385376
18,171,7038.953,0.0,75.57,0.0,0.00059122127,0.5568578243255615
19,181,7077.2104,0.0,75.83,0.0,0.00059004594,0.6028337478637695
20,191,7111.52,0.0,76.06,0.0,0.00059384946,0.5728332996368408
21,201,7147.8413,0.0,76.32,0.0,0.0005963808,0.5799484252929688
22,211,7176.9893,0.0,76.51,0.0,0.0005959263,0.5681543350219727
23,221,7205.4,0.0,76.71,0.0,0.00059998035,0.609917402267456
24,231,7231.079,0.0,76.9,0.0,0.000604162,0.5647358894348145
25,241,7251.8184,0.0,77.04,0.0,0.00060632546,0.5571057796478271
26,251,7275.963,0.0,77.22,0.0,0.00060671475,0.5655355453491211
27,261,7293.3984,0.0,77.340004,0.0,0.0006064698,0.5758163928985596
28,271,7308.1787,0.0,77.43,0.0,0.0006067576,0.5904710292816162
29,281,7320.1055,0.0,77.5,0.0,0.0006079329,0.5942118167877197
30,291,7331.514,0.0,77.57,0.0,0.0006072307,0.5493872165679932
31,301,7342.2397,0.0,77.64,0.0,0.00060892943,0.5520622730255127
32,311,7356.9863,0.0,77.75,0.0,0.0006122021,0.589177131652832
33,321,7366.87,0.0,77.81,0.0,0.00061494857,0.5594215393066406
34,331,7374.3765,0.0,77.85,0.0,0.0006163996,0.5843191146850586
35,341,7382.416,0.0,77.9,0.0,0.000618862,0.5570507049560547
36,351,7389.751,0.0,77.94,0.0,0.0006172387,0.608642578125
37,361,7400.352,0.0,78.020004,0.0,0.00061819423,0.5746955871582031
