loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,542.0356,-0.08499309,7.2299995,7.2060804,36.01683,5.69218111038208
2,11,1654.5391,-0.056497533,20.74,20.639557,103.51898,1.2977557182312012
3,21,2362.539,-0.056032494,28.650002,28.574646,142.8219,1.4523899555206299
4,31,2881.9893,-0.043484773,34.14,34.048065,170.31787,1.6467373371124268
5,41,3253.4236,-0.035873704,37.87,37.737854,188.76349,1.6706657409667969
6,51,3585.4648,-0.03579677,41.149998,41.04036,205.33037,1.5298771858215332
7,61,3838.6233,-0.035337962,43.55,43.36815,216.9282,1.6664440631866455
8,71,4022.02,-0.03170968,45.23,45.09037,225.55534,1.3369011878967285
9,81,4175.4204,-0.029739322,46.57,46.437126,232.32002,1.4663970470428467
10,91,4270.1763,-0.02269048,47.329998,47.16902,235.9895,1.3380794525146484
11,101,4370.0576,-0.015392629,48.15,47.977066,240.01959,1.4447252750396729
12,111,4399.0894,-0.016001612,48.24,48.134163,240.5672,1.1211624145507812
13,121,4459.5117,-0.014891769,48.68,48.577217,242.66525,1.6331219673156738
14,131,4491.522,-0.01667531,48.85,48.724174,243.52858,1.700774908065796
15,141,4561.9365,-0.012737834,49.469997,49.31298,246.65616,1.732093095779419
16,151,4553.413,-0.01263646,49.249996,49.129723,245.50635,1.3533992767333984
17,161,4590.0527,-0.012706764,49.51,49.388527,247.02411,1.6625773906707764
18,171,4625.4673,-0.011857177,49.78,49.57686,248.30037,1.4901742935180664
19,181,4645.4937,-0.012609768,49.87,49.725082,248.65477,1.2288284301757812
20,191,4649.773,-0.011952929,49.859997,49.730118,248.66888,1.4040617942810059
21,201,4659.0596,-0.01169299,49.87,49.72644,248.50992,1.0858392715454102
22,211,4671.982,-0.012784648,49.949997,49.78277,248.9975,1.395827293395996
23,221,4704.193,-0.0116936285,50.229996,50.07325,250.3115,1.6452445983886719
24,231,4682.048,-0.011675176,49.94,49.782913,249.14406,1.6805980205535889
