loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,609.03735,-0.09253296,8.21,0.0,6.1210245e-05,3.344569206237793
2,11,2238.398,-0.04202284,28.34,0.0,0.00021962076,1.260425329208374
3,21,3285.9395,-0.04202284,40.07,0.0,0.00031618774,1.2596046924591064
4,31,4099.2803,-0.04202284,48.76,0.0,0.0003891643,1.2591948509216309
5,41,4761.082,-0.03303373,55.57,0.0,0.0004470218,1.2593770027160645
6,51,5236.4736,-0.024994714,60.219997,0.0,0.00048376247,1.2548151016235352
7,61,5635.213,-0.024994714,63.98,0.0,0.00051511824,1.266526460647583
8,71,5960.1934,-0.024994714,66.99,0.0,0.00053696986,1.261054277420044
9,81,6214.879,-0.024994714,69.25,0.0,0.0005536815,1.2634742259979248
10,91,6391.8545,-0.014945238,70.71,0.0,0.00056634564,1.2614190578460693
11,101,6550.773,-0.014945238,72.03,0.0,0.00057665166,1.2606709003448486
12,111,6662.143,-0.014945238,72.869995,0.0,0.0005826913,1.263817548751831
13,121,6770.148,-0.014945238,73.71,0.0,0.00058588665,1.265488624572754
14,131,6856.51,-0.014945238,74.35,0.0,0.0005858885,1.262763261795044
15,141,6932.212,-0.014945238,74.92,0.0,0.000586628,1.2622427940368652
16,151,6995.5527,-0.014945238,75.39,0.0,0.00059218705,1.2622878551483154
17,161,7049.199,-0.014945238,75.79,0.0,0.0005939631,1.2607252597808838
18,171,7091.716,-0.014945238,76.09,0.0,0.00059602037,1.2674939632415771
19,181,7126.0786,-0.014153851,76.31,0.0,0.00059504807,1.257892370223999
20,191,7156.0093,-0.014153851,76.49,0.0,0.0006003529,1.2593803405761719
21,201,7184.8867,-0.014153851,76.69,0.0,0.0006036069,1.2620010375976562
22,211,7209.455,-0.013405737,76.84,0.0,0.0006052898,1.2599990367889404
23,221,7236.392,-0.013405737,77.03,0.0,0.00060799345,1.2737207412719727
24,231,7248.1973,-0.012931706,77.06,0.0,0.0006052004,1.2241883277893066
25,241,7263.6543,-0.012931706,77.14,0.0,0.00060629845,0.7197883129119873
26,251,7277.311,-0.012931706,77.21,0.0,0.0006054053,0.7200725078582764
27,261,7291.0283,-0.012931706,77.29,0.0,0.0006065117,0.7224714756011963
