loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,91.54464,-0.085106425,1.23,0.0,2.4661422e-06,4.491523742675781
2,11,503.26794,-0.07510235,6.68,0.0,1.3247132e-05,0.004627227783203125
3,21,840.3796,-0.07510235,11.04,0.0,2.2359192e-05,0.004729032516479492
4,31,1126.4514,-0.07339136,14.599999,0.0,2.9847026e-05,0.0046956539154052734
5,41,1374.224,-0.07339136,17.65,0.0,3.6083162e-05,0.005002737045288086
6,51,1614.9875,-0.07339136,20.59,0.0,4.185736e-05,0.004817485809326172
7,61,1840.1981,-0.07339136,23.25,0.0,4.7296286e-05,0.0046269893646240234
8,71,2051.231,-0.052936807,25.769999,0.0,5.2191317e-05,0.002735614776611328
9,81,2240.8296,-0.052936807,28.01,0.0,5.761534e-05,0.002886533737182617
10,91,2420.657,-0.052936807,30.109999,0.0,6.262958e-05,0.004759788513183594
11,101,2583.8806,-0.039093524,31.99,0.0,6.660074e-05,0.0046977996826171875
12,111,2734.0093,-0.039093524,33.649998,0.0,7.095188e-05,0.004662275314331055
13,121,2895.127,-0.039093524,35.48,0.0,7.594377e-05,0.005026817321777344
14,131,3029.1438,-0.039093524,36.969997,0.0,7.981062e-05,0.004833698272705078
15,141,3148.9553,-0.033346795,38.26,0.0,8.260459e-05,0.004786491394042969
16,151,3269.4102,-0.033346795,39.55,0.0,8.53315e-05,0.004685878753662109
17,161,3396.1758,-0.033346795,40.91,0.0,8.866936e-05,0.004893779754638672
18,171,3519.6133,-0.024828926,42.23,0.0,9.1932714e-05,0.004743814468383789
19,181,3620.0085,-0.024828926,43.309998,0.0,9.462237e-05,0.004712343215942383
20,191,3717.5554,-0.024828926,44.34,0.0,9.728223e-05,0.0047779083251953125
21,201,3814.7153,-0.024828926,45.37,0.0,9.981543e-05,0.0029747486114501953
22,211,3909.6956,-0.024828926,46.35,0.0,0.00010175258,0.004932880401611328
23,221,4004.3052,-0.024828926,47.329998,0.0,0.00010366738,0.00472712516784668
24,231,4102.832,-0.024828926,48.36,0.0,0.00010679662,0.0047206878662109375
25,241,4188.3784,-0.024828926,49.25,0.0,0.00010854006,0.004717826843261719
26,251,4269.439,-0.024828926,50.09,0.0,0.000110417604,0.004873991012573242
27,261,4347.8896,-0.024828926,50.89,0.0,0.00011271238,0.002997159957885742
28,271,4432.343,-0.024828926,51.739998,0.0,0.000114396214,0.003010988235473633
29,281,4513.628,-0.024828926,52.579998,0.0,0.00011526048,0.0029489994049072266
30,291,4589.8066,-0.024828926,53.34,0.0,0.000116840005,0.0030808448791503906
31,301,4667.9404,-0.024828926,54.14,0.0,0.00011860579,0.006484508514404297
32,311,4735.161,-0.024828926,54.82,0.0,0.00012013316,0.002907276153564453
33,321,4807.28,-0.024828926,55.55,0.0,0.00012181699,0.004773139953613281
34,331,4860.796,-0.024828926,56.05,0.0,0.00012350082,0.003062725067138672
35,341,4922.7354,-0.024828926,56.649998,0.0,0.00012499839,0.0028133392333984375
36,351,4964.379,-0.024828926,57.01,0.0,0.00012620538,0.002877950668334961
37,361,5032.262,0.0,57.69,0.0,0.00012762845,0.002801179885864258
38,371,5084.1743,0.0,58.18,0.0,0.00012844056,0.0027549266815185547
39,381,5143.164,0.0,58.75,0.0,0.00013028085,0.0027990341186523438
40,391,5197.09,0.0,59.28,0.0,0.00013180077,0.0027701854705810547
41,401,5246.189,0.0,59.739998,0.0,0.00013306737,0.005030632019042969
42,411,5288.173,0.0,60.12,0.0,0.000133425,0.003867626190185547
43,421,5347.0527,0.0,60.699997,0.0,0.00013488531,0.0046274662017822266
44,431,5395.279,0.0,61.14,0.0,0.00013568997,0.002838611602783203
45,441,5438.993,0.0,61.55,0.0,0.00013700873,0.0027832984924316406
46,451,5481.4995,0.0,61.96,0.0,0.00013784319,0.002813577651977539
47,461,5522.5356,0.0,62.34,0.0,0.00013822317,0.004774808883666992
48,471,5561.076,0.0,62.699997,0.0,0.00013937056,0.004790544509887695
49,481,5613.751,0.0,63.219997,0.0,0.00014048815,0.004899740219116211
50,491,5646.6304,0.0,63.5,0.0,0.00014109164,0.005268573760986328
51,501,5691.001,0.0,63.93,0.0,0.00014209747,0.0047893524169921875
52,511,5725.341,0.0,64.25,0.0,0.00014272332,0.004730939865112305
53,521,5764.3906,0.0,64.619995,0.0,0.00014340132,0.004791975021362305
54,531,5798.2773,0.0,64.93,0.0,0.0001443401,0.004900455474853516
55,541,5840.17,0.0,65.32,0.0,0.0001456514,0.004925966262817383
56,551,5870.8125,0.0,65.6,0.0,0.00014585257,0.0048677921295166016
57,561,5907.5654,0.0,65.939995,0.0,0.00014610589,0.005037784576416016
58,571,5951.799,0.0,66.369995,0.0,0.00014726818,0.004716396331787109
59,581,5973.464,0.0,66.549995,0.0,0.00014740229,0.005074024200439453
60,591,5995.787,0.0,66.729996,0.0,0.00014723092,0.004683017730712891
61,601,6019.879,0.0,66.93,0.0,0.00014787167,0.004850864410400391
62,611,6045.718,0.0,67.15,0.0,0.00014846772,0.004740715026855469
63,621,6067.7026,0.0,67.33,0.0,0.00014892966,0.004694938659667969
64,631,6091.8696,0.0,67.54,0.0,0.00015004724,0.0047800540924072266
65,641,6121.6245,0.0,67.81,0.0,0.00014996529,0.0047130584716796875
66,651,6148.129,0.0,68.049995,0.0,0.00015035272,0.004788637161254883
67,661,6171.2783,0.0,68.25,0.0,0.00015118718,0.004918336868286133
68,671,6195.5054,0.0,68.46,0.0,0.00015178323,0.005125761032104492
