loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,91.05787,-0.08526536,1.22,1.095714,5.6479826,5.4944610595703125
2,11,494.65155,-0.069913894,6.5499997,5.9899096,29.740402,0.005942821502685547
3,21,839.19995,-0.0633373,11.0,9.908427,49.717323,0.005879640579223633
4,31,1148.4792,-0.0633373,14.91,13.448088,67.19838,0.006520271301269531
5,41,1438.2805,-0.046670675,18.449999,16.530619,82.821,0.0076143741607666016
6,51,1697.7566,-0.046670675,21.6,19.368628,96.75776,0.005947113037109375
7,61,1913.0917,-0.046670675,24.14,21.641674,108.37834,0.0057680606842041016
8,71,2122.1885,-0.046670675,26.599998,23.879059,119.70792,0.004503488540649414
9,81,2312.015,-0.046670675,28.789999,25.82685,129.9851,0.004469394683837891
10,91,2497.243,-0.046670675,30.929998,27.650534,139.61447,0.006304264068603516
11,101,2667.0986,-0.046670675,32.85,29.42883,148.24225,0.005498170852661133
12,111,2837.9253,-0.046670675,34.77,31.232128,157.04456,0.006056785583496094
13,121,2987.3796,-0.046670675,36.43,32.82457,164.18945,0.0036818981170654297
14,131,3137.1772,-0.04654912,38.07,34.29872,171.47314,0.004896402359008789
15,141,3260.4307,-0.04050854,39.399998,35.54086,177.83197,0.006440639495849609
16,151,3407.271,-0.04050854,41.02,37.072517,185.11307,0.0071103572845458984
17,161,3539.9155,-0.04050854,42.46,38.281265,191.51186,0.0060558319091796875
18,171,3664.255,-0.04050854,43.8,39.664116,197.14262,0.0036449432373046875
19,181,3762.7202,-0.03871036,44.809998,40.676556,201.54488,0.004518270492553711
20,191,3868.6782,-0.036460232,45.93,41.689743,206.22543,0.006164073944091797
21,201,3970.0144,-0.036460232,46.98,42.677963,211.07469,0.00704193115234375
22,211,4080.7932,-0.036460232,48.149998,43.73541,216.57608,0.005791902542114258
23,221,4199.0225,-0.036460232,49.399998,44.875435,222.46713,0.008053064346313477
24,231,4303.049,-0.036460232,50.48,45.77947,227.39706,0.005804538726806641
25,241,4408.7456,-0.031051297,51.57,46.72677,232.21925,0.006125926971435547
26,251,4495.6206,-0.031051297,52.449997,47.408504,236.23544,0.004505634307861328
27,261,4584.922,-0.031051297,53.35,48.201553,240.17313,0.0036537647247314453
28,271,4661.158,-0.031051297,54.12,48.879967,243.80156,0.004320621490478516
29,281,4740.979,-0.031051297,54.92,49.457024,247.32047,0.004155397415161133
30,291,4813.586,-0.031051297,55.629997,50.059204,250.31052,0.007107734680175781
31,301,4900.751,-0.031051297,56.51,50.821793,254.23836,0.0045855045318603516
32,311,4970.9688,-0.031051297,57.199997,51.467926,257.2961,0.004825115203857422
33,321,5048.541,-0.031051297,57.98,52.250896,260.9133,0.007211923599243164
34,331,5114.186,-0.031051297,58.629997,52.832417,263.9134,0.0053043365478515625
35,341,5177.4854,-0.031051297,59.239998,53.326717,266.79318,0.007131814956665039
36,351,5235.5176,-0.031051297,59.8,53.86549,269.27484,0.0039370059967041016
37,361,5303.449,-0.031051297,60.48,54.53575,272.24634,0.00370025634765625
38,371,5375.8257,-0.031051297,61.199997,55.161354,275.64056,0.00933527946472168
39,381,5425.2144,-0.031051297,61.67,55.67726,277.94196,0.005980730056762695
40,391,5477.775,-0.031051297,62.18,56.140953,280.49622,0.006673097610473633
41,401,5533.158,-0.031051297,62.71,56.658535,282.9913,0.007230281829833984
42,411,5586.645,-0.031051297,63.21,57.08313,284.96063,0.007247209548950195
43,421,5648.0684,-0.031051297,63.82,57.661873,287.55908,0.0056684017181396484
44,431,5695.148,-0.031051297,64.27,58.185707,289.25745,0.006532907485961914
45,441,5744.632,-0.012078266,64.74,58.563137,291.4697,0.007169008255004883
46,451,5795.5137,-0.012078266,65.229996,58.99774,293.66876,0.007500171661376953
47,461,5840.074,-0.012078266,65.65,59.30457,295.67233,0.00428318977355957
48,471,5885.8633,-0.012078266,66.09,59.746292,297.76947,0.004006385803222656
49,481,5925.419,-0.012078266,66.45,60.125336,299.36267,0.006353139877319336
50,491,5969.6577,-0.012078266,66.86,60.574654,301.50378,0.0042154788970947266
51,501,6002.0435,-0.012078266,67.159996,60.90681,302.6399,0.00835108757019043
52,511,6035.2783,-0.012078266,67.46,61.17849,304.1733,0.004284858703613281
53,521,6066.2646,-0.012078266,67.729996,61.389893,305.2655,0.00738072395324707
54,531,6103.4355,-0.012078266,68.07,61.698116,306.64316,0.0073392391204833984
55,541,6143.595,-0.012078266,68.45,62.012867,308.1977,0.0060596466064453125
56,551,6173.7075,-0.012078266,68.72,62.328957,309.4436,0.007178306579589844
57,561,6208.8765,-0.012078266,69.04,62.57817,311.084,0.0074100494384765625
58,571,6246.1494,-0.012078266,69.4,62.928555,312.76367,0.00370025634765625
59,581,6276.701,-0.012078266,69.68,63.103207,314.13483,0.005726814270019531
60,591,6306.5,-0.012078266,69.95,63.350494,315.30212,0.006292581558227539
61,601,6336.7344,-0.012078266,70.22,63.575054,316.45538,0.0073702335357666016
62,611,6361.24,-0.012078266,70.43,63.762817,317.59064,0.0037834644317626953
63,621,6385.5923,-0.012078266,70.64,63.972607,318.69656,0.004302978515625
64,631,6411.422,-0.012078266,70.86,64.25472,319.38916,0.0062024593353271484
65,641,6441.7563,-0.012078266,71.14,64.535774,320.55286,0.007042407989501953
66,651,6463.8184,-0.012078266,71.33,64.727745,321.49652,0.005915164947509766
67,661,6485.8916,-0.012078266,71.52,64.89143,322.58365,0.0072650909423828125
68,671,6509.6304,-0.012078266,71.729996,65.100105,323.62378,0.0073163509368896484
69,681,6528.531,-0.012078266,71.89,65.26564,324.24435,0.005646467208862305
70,691,6563.567,-0.012078266,72.22,65.49061,325.77252,0.007391452789306641
71,701,6579.319,-0.012078266,72.34,65.6284,326.2835,0.003972768783569336
72,711,6598.2783,-0.012078266,72.5,65.81131,326.86423,0.006132602691650391
73,721,6629.0864,-0.012078266,72.79,66.02724,328.2531,0.006628513336181641
74,731,6655.3896,-0.012078266,73.04,66.19037,329.24506,0.006015777587890625
75,741,6680.1157,-0.012078266,73.26,66.41688,330.3821,0.006457328796386719
76,751,6707.187,-0.012078266,73.51,66.52396,331.60498,0.003885507583618164
77,761,6726.8423,-0.012078266,73.689995,66.56488,332.47183,0.007197141647338867
78,771,6753.9985,-0.012078266,73.939995,66.73811,333.53683,0.006117343902587891
79,781,6766.418,-0.012078266,74.03,66.87625,334.07254,0.0055484771728515625
80,791,6785.1475,-0.012078266,74.2,67.05173,334.58868,0.006974220275878906
81,801,6806.237,-0.012078266,74.39,67.26621,335.4395,0.007129669189453125
82,811,6827.826,-0.012078266,74.58,67.4117,336.37286,0.005086183547973633
83,821,6851.0005,-0.012078266,74.79,67.53776,337.61288,0.006269931793212891
84,831,6867.6523,-0.012078266,74.93,67.69292,338.3531,0.006153106689453125
85,841,6878.5605,-0.012078266,75.01,67.73752,338.4028,0.00596165657043457
86,851,6892.436,-0.012078266,75.119995,67.81462,338.78018,0.006340503692626953
87,861,6910.254,-0.012078266,75.27,67.95038,339.4341,0.003367900848388672
88,871,6924.7456,-0.012078266,75.39,68.06208,339.8753,0.010915994644165039
89,881,6934.824,-0.012078266,75.45,68.186516,340.21478,0.007330417633056641
90,891,6950.4336,-0.012078266,75.59,68.30313,340.98764,0.005707263946533203
91,901,6965.989,-0.012078266,75.72,68.35605,341.59494,0.006844520568847656
92,911,6981.21,-0.012078266,75.85,68.48832,342.2445,0.006932973861694336
93,921,6997.8325,-0.012078266,75.99,68.63872,342.76758,0.005519866943359375
94,931,7007.8213,-0.012078266,76.06,68.75865,342.9287,0.00458526611328125
95,941,7023.6426,-0.012078266,76.2,68.84009,343.58856,0.0055882930755615234
96,951,7032.3115,-0.012078266,76.259995,68.94614,343.6594,0.005938291549682617
97,961,7048.393,-0.012078266,76.4,69.05177,344.49347,0.005944252014160156
98,971,7057.535,-0.012078266,76.46,69.08733,344.79593,0.00553441047668457
99,981,7071.447,-0.012078266,76.58,69.23374,345.85263,0.007491111755371094
100,991,7093.0874,-0.012078266,76.79,69.43773,346.68512,0.008646011352539062
101,1001,7103.995,-0.012078266,76.88,69.57341,347.14624,0.006360769271850586
102,1011,7203.629,0.017697379,77.77,-4854.173,-2675.9236,0.23287081718444824
103,1021,7272.414,0.017697379,78.43,-7102.24,-4097.816,0.19611024856567383
104,1031,7328.1357,0.017697379,78.979996,-8587.375,-5047.6294,0.22214674949645996
105,1041,7377.514,0.017697379,79.479996,-9815.435,-5850.5884,0.20325493812561035
106,1051,7424.6357,0.017697379,79.96,-10705.142,-6429.8535,0.18886399269104004
107,1061,7453.1763,0.017697379,80.24,-11470.451,-6914.842,0.207078218460083
108,1071,7495.288,0.017907023,80.689995,-12089.654,-7309.76,0.21929264068603516
109,1081,7531.681,0.017907023,81.08,-12733.729,-7722.885,0.13263297080993652
110,1091,7570.3735,0.017907023,81.509995,-13340.699,-8099.237,0.1933760643005371
111,1101,7610.639,0.017907023,81.96,-13844.631,-8415.189,0.21204590797424316
112,1111,7636.586,0.017907023,82.25,-14246.896,-8671.445,0.23409175872802734
113,1121,7661.1367,0.017907023,82.509995,-14601.521,-8887.332,0.1833972930908203
114,1131,7695.257,0.017907023,82.89,-14953.719,-9099.24,0.25429534912109375
115,1141,7717.803,0.017907023,83.14,-15240.047,-9266.738,0.17095422744750977
116,1151,7745.782,0.017907023,83.46,-15541.539,-9437.262,0.1669151782989502
117,1161,7773.8247,0.017907023,83.78,-15849.402,-9623.213,0.1848282814025879
118,1171,7805.582,0.031691417,84.14,-16150.465,-9809.131,0.18907880783081055
119,1181,7828.201,0.039564192,84.39,-16410.27,-9948.456,0.1672382354736328
120,1191,7854.8076,0.039564192,84.689995,-16663.92,-10109.008,0.21444225311279297
121,1201,7882.738,0.039564192,85.0,-16896.773,-10251.357,0.19669342041015625
122,1211,7908.411,0.065052316,85.29,-17120.723,-10384.615,0.166001558303833
123,1221,7928.517,0.065052316,85.52,-17337.625,-10522.4,0.16704273223876953
124,1231,7950.988,0.065052316,85.77,-17543.867,-10649.049,0.1992502212524414
125,1241,7971.947,0.065052316,86.009995,-17763.27,-10784.07,0.1925976276397705
126,1251,7985.75,0.065052316,86.159996,-17916.36,-10874.615,0.21571087837219238
127,1261,8001.0,0.065052316,86.33,-18078.861,-10970.216,0.20679831504821777
128,1271,8020.434,0.07603952,86.54,-18273.637,-11094.913,0.18209266662597656
129,1281,8036.209,0.07603952,86.72,-18418.168,-11179.9375,0.10366296768188477
130,1291,8051.8594,0.07603952,86.9,-18573.223,-11273.568,0.1483626365661621
131,1301,8070.957,0.07603952,87.119995,-18728.363,-11365.415,0.13813567161560059
132,1311,8085.9355,0.07603952,87.28,-18846.977,-11440.665,0.19373202323913574
133,1321,8098.5215,0.07603952,87.42,-18963.113,-11507.706,0.16470909118652344
134,1331,8107.0664,0.07603952,87.509995,-19059.52,-11568.469,0.19733977317810059
135,1341,8118.3853,0.07603952,87.64,-19174.8,-11638.13,0.18004250526428223
136,1351,8129.894,0.07603952,87.77,-19291.04,-11710.561,0.1769087314605713
137,1361,8140.9287,0.07603952,87.89,-19403.605,-11771.716,0.22205376625061035
138,1371,8154.2324,0.07603952,88.04,-19520.625,-11839.135,0.150956392288208
139,1381,8166.7383,0.07603952,88.18,-19682.197,-11939.977,0.22838163375854492
140,1391,8181.2417,0.07603952,88.34,-19786.494,-11996.681,0.13492155075073242
141,1401,8192.066,0.07603952,88.46,-19894.799,-12061.312,0.16460037231445312
142,1411,8200.617,0.07603952,88.549995,-19977.91,-12113.018,0.17219996452331543
143,1421,8209.851,0.07603952,88.659996,-20069.176,-12167.383,0.12584519386291504
144,1431,8222.327,0.07603952,88.799995,-20175.225,-12231.662,0.1690211296081543
145,1441,8226.7705,0.07603952,88.85,-20265.27,-12288.035,0.22888660430908203
146,1451,8237.608,0.07603952,88.97,-20343.477,-12337.197,0.1499955654144287
147,1461,8249.224,0.07603952,89.1,-20425.883,-12384.467,0.12921404838562012
148,1471,8255.081,0.07603952,89.17,-20482.066,-12417.127,0.16417646408081055
149,1481,8259.847,0.07603952,89.22,-20576.414,-12477.419,0.1377394199371338
150,1491,8268.421,0.07603952,89.32,-20666.057,-12528.625,0.23547124862670898
151,1501,8277.773,0.07603952,89.42,-20734.758,-12571.115,0.13635945320129395
152,1511,8338.424,0.07603952,90.009995,-21771.137,-13246.145,0.2091224193572998
153,1521,8377.753,0.07603952,90.39,-22328.316,-13650.782,0.24695706367492676
154,1531,8410.066,0.07603952,90.7,-22826.516,-14014.01,0.1913468837738037
155,1541,8440.279,0.07603952,91.0,-23207.342,-14309.27,0.17980027198791504
156,1551,8468.609,0.07603952,91.29,-23534.354,-14558.659,0.2107088565826416
157,1561,8500.372,0.07603952,91.619995,-23842.592,-14791.057,0.18725013732910156
158,1571,8520.344,0.07603952,91.82,-24079.383,-14972.452,0.1412968635559082
159,1581,8542.66,0.07603952,92.049995,-24307.564,-15151.729,0.19060349464416504
160,1591,8564.099,0.07603952,92.28,-24541.908,-15327.26,0.18646979331970215
161,1601,8581.391,0.07603952,92.46,-24692.57,-15464.008,0.1056828498840332
162,1611,8600.558,0.07603952,92.659996,-24893.867,-15615.778,0.15917062759399414
163,1621,8619.49,0.07603952,92.86,-25040.281,-15721.736,0.2255847454071045
164,1631,8638.96,0.07603952,93.07,-25206.637,-15845.8955,0.11778831481933594
165,1641,8652.992,0.07603952,93.22,-25348.637,-15952.584,0.20690655708312988
166,1651,8672.002,0.07603952,93.43,-25495.164,-16058.329,0.13388872146606445
167,1661,8688.66,0.07603952,93.6,-25635.275,-16167.494,0.17365097999572754
168,1671,8703.203,0.07603952,93.75,-25758.27,-16259.592,0.1910569667816162
169,1681,8719.999,0.07603952,93.93,-25908.86,-16376.087,0.18303465843200684
170,1691,8732.156,0.07603952,94.049995,-26030.988,-16475.066,0.16977357864379883
171,1701,8742.388,0.07603952,94.159996,-26120.01,-16541.637,0.2198162078857422
172,1711,8751.67,0.07603952,94.25,-26200.012,-16601.621,0.19499754905700684
173,1721,8762.875,0.07603952,94.369995,-26294.906,-16669.234,0.15588140487670898
174,1731,8771.146,0.07603952,94.45,-26387.99,-16740.8,0.2035672664642334
175,1741,8779.735,0.07603952,94.54,-26455.707,-16796.633,0.18476152420043945
176,1751,8790.707,0.07603952,94.65,-26546.533,-16862.824,0.17770934104919434
177,1761,8799.4375,0.07603952,94.74,-26625.424,-16926.424,0.1343550682067871
178,1771,8809.827,0.07603952,94.85,-26720.395,-16999.832,0.1904888153076172
179,1781,8816.597,0.07603952,94.92,-26763.09,-17037.867,0.17068719863891602
180,1791,8824.931,0.07603952,95.0,-26833.004,-17092.957,0.21845412254333496
181,1801,8831.283,0.07603952,95.06,-26905.086,-17147.316,0.1954641342163086
182,1811,8841.1,0.07603952,95.17,-26962.97,-17195.066,0.22585177421569824
183,1821,8847.1875,0.07603952,95.229996,-27015.297,-17233.152,0.25297117233276367
184,1831,8852.264,0.07603952,95.28,-27076.95,-17271.395,0.18634939193725586
185,1841,8865.357,0.07603952,95.42,-27143.867,-17317.459,0.18566370010375977
186,1851,8872.048,0.07603952,95.49,-27214.102,-17370.371,0.2039504051208496
187,1861,8881.762,0.07603952,95.59,-27266.945,-17409.645,0.1260223388671875
188,1871,8886.64,0.07603952,95.64,-27305.531,-17436.766,0.16444921493530273
189,1881,8894.48,0.07603952,95.729996,-27363.828,-17483.945,0.21629071235656738
190,1891,8899.96,0.07603952,95.78,-27396.55,-17522.188,0.1978893280029297
191,1901,8904.847,0.07603952,95.829994,-27430.88,-17550.438,0.16347527503967285
192,1911,8909.102,0.07603952,95.869995,-27470.662,-17576.783,0.14281988143920898
193,1921,8915.169,0.07603952,95.93,-27516.371,-17615.053,0.1374824047088623
194,1931,8924.6045,0.07603952,96.03,-27575.729,-17656.96,0.22557330131530762
195,1941,8933.09,0.07603952,96.119995,-27636.379,-17698.816,0.12919998168945312
196,1951,8937.062,0.07603952,96.159996,-27669.422,-17719.42,0.17219924926757812
197,1961,8939.681,0.07603952,96.18,-27699.55,-17740.678,0.1808300018310547
198,1971,8943.545,0.07603952,96.22,-27732.465,-17765.959,0.2647721767425537
199,1981,8950.301,0.07603952,96.29,-27768.992,-17790.8,0.2311255931854248
200,1991,8955.442,0.07603952,96.34,-27801.809,-17820.719,0.12633633613586426
201,2001,8961.679,0.07603952,96.409996,-27833.885,-17846.094,0.17010807991027832
202,2011,8972.484,0.07603952,96.47,-28167.887,-18031.66,0.180098295211792
203,2021,8980.161,0.07603952,96.509995,-28396.045,-18178.547,0.16931867599487305
204,2031,8984.636,0.07603952,96.52,-28576.0,-18290.402,0.20257067680358887
205,2041,8989.398,0.07603952,96.54,-28706.977,-18378.027,0.16735148429870605
206,2051,8996.625,0.07603952,96.59,-28845.637,-18473.625,0.17418980598449707
207,2061,9002.097,0.07603952,96.619995,-28968.234,-18550.967,0.12047386169433594
208,2071,9007.376,0.07603952,96.65,-29050.273,-18602.016,0.22028255462646484
209,2081,9013.567,0.07603952,96.689995,-29167.375,-18686.805,0.10555434226989746
210,2091,9017.919,0.07603952,96.72,-29245.648,-18734.691,0.20242929458618164
211,2101,9020.859,0.07603952,96.729996,-29352.465,-18811.383,0.18735623359680176
212,2111,9022.665,0.07603952,96.729996,-29458.479,-18887.469,0.21709465980529785
213,2121,9025.793,0.07603952,96.75,-29502.066,-18927.508,0.17558979988098145
214,2131,9030.115,0.07603952,96.78,-29558.748,-18970.047,0.10644316673278809
215,2141,9034.073,0.07603952,96.81,-29597.914,-19003.459,0.16260766983032227
216,2151,9036.551,0.07603952,96.829994,-29627.758,-19033.479,0.16133499145507812
217,2161,9038.151,0.07603952,96.829994,-29682.078,-19077.975,0.16583967208862305
218,2171,9041.795,0.07603952,96.85,-29732.418,-19119.18,0.1821763515472412
219,2181,9043.497,0.07603952,96.86,-29763.695,-19142.414,0.11731553077697754
220,2191,9047.138,0.07603952,96.89,-29800.346,-19177.828,0.1847681999206543
221,2201,9047.902,0.07603952,96.89,-29829.078,-19202.566,0.21422839164733887
222,2211,9050.234,0.07603952,96.9,-29856.982,-19226.914,0.18916535377502441
223,2221,9051.376,0.07603952,96.9,-29896.98,-19260.598,0.1839909553527832
224,2231,9053.201,0.07603952,96.909996,-29931.117,-19280.297,0.2004239559173584
225,2241,9056.524,0.07603952,96.939995,-29959.633,-19302.406,0.17623329162597656
226,2251,9057.274,0.07603952,96.939995,-29969.63,-19327.535,0.13255524635314941
