loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,89.69989,-0.08559679,1.2,1.1947534,6.0268507,6.135190963745117
2,11,446.6861,-0.07536042,5.8599997,5.8596697,29.273758,1.440462589263916
3,21,716.70776,-0.0646989,9.29,9.276979,46.25016,1.1541152000427246
4,31,951.74646,-0.06390965,12.23,12.175138,60.925087,1.0987460613250732
5,41,1151.1521,-0.053505503,14.57,14.520512,72.587456,1.126033067703247
6,51,1336.209,-0.0539201,16.769999,16.71437,83.642395,1.5839004516601562
7,61,1506.6157,-0.05291799,18.75,18.680864,93.47672,1.1955926418304443
8,71,1641.8923,-0.051816847,20.31,20.253845,101.09505,1.110353708267212
9,81,1750.4957,-0.050782617,21.499998,21.46835,107.226006,1.3203721046447754
10,91,1875.8542,-0.05013247,22.91,22.847176,114.25486,1.581186294555664
11,101,1991.0731,-0.05089555,24.19,24.129189,120.64189,1.7189726829528809
12,111,2074.8289,-0.050511092,25.079998,25.031673,125.04801,1.5728893280029297
13,121,2175.4963,-0.0463062,26.15,26.081211,130.4223,1.553229808807373
14,131,2283.3867,-0.045346607,27.359999,27.312355,136.41339,1.456885814666748
15,141,2343.8499,-0.03450517,27.91,27.79916,139.23029,1.6145622730255127
16,151,2453.631,-0.03442129,29.15,29.062103,145.28192,1.45894455909729
17,161,2490.1497,-0.036459863,29.47,29.362534,146.76602,1.4345343112945557
18,171,2597.146,-0.035076953,30.65,30.57934,152.79207,1.546778917312622
19,181,2673.5461,-0.03528003,31.45,31.37603,156.98633,1.7230114936828613
20,191,2671.172,-0.038715627,31.3,31.151295,155.91043,1.518883466720581
21,201,2784.3835,-0.034053143,32.55,32.42225,162.21259,1.4480400085449219
22,211,2826.624,-0.03486105,32.94,32.89987,164.15463,1.2344651222229004
23,221,2881.9294,-0.03454772,33.51,33.423813,167.17532,1.6855096817016602
24,231,2948.689,-0.034213703,34.17,34.054657,170.47372,1.8043336868286133
25,241,3023.7136,-0.031791076,34.96,34.90506,174.29553,1.510690450668335
26,251,3068.1323,-0.03274738,35.38,35.253777,176.26602,1.5167670249938965
27,261,3118.3845,-0.031113654,35.89,35.80662,178.89767,1.2657060623168945
28,271,3130.995,-0.032069653,35.96,35.85843,179.07626,1.635389804840088
29,281,3225.0093,-0.03154265,36.949997,36.836906,184.24289,1.8114957809448242
30,291,3260.102,-0.031953145,37.309998,37.212517,185.95993,1.5506315231323242
31,301,3276.5168,-0.03176846,37.42,37.291878,186.44962,1.781921148300171
32,311,3357.2793,-0.031755567,38.25,38.129337,190.78964,1.232541799545288
33,321,3403.8232,-0.032063857,38.7,38.58358,192.91083,1.78436279296875
34,331,3453.0737,-0.03137613,39.239998,39.109413,195.49628,1.642322301864624
35,341,3509.096,-0.03179787,39.8,39.698257,198.22644,1.5164339542388916
36,351,3493.9998,-0.031564593,39.559998,39.451645,197.24475,1.4179275035858154
37,361,3549.4824,-0.031537183,40.089996,39.969086,199.85031,1.3278229236602783
38,371,3620.5083,-0.031574942,40.879997,40.77991,203.82489,1.8797259330749512
39,381,3585.904,-0.031248134,40.399998,40.32122,201.48622,1.8608386516571045
40,391,3639.864,-0.03238097,40.98,40.812317,204.21164,1.51171875
41,401,3691.8716,-0.031593814,41.5,41.360382,206.88588,1.6637396812438965
42,411,3685.4377,-0.030951973,41.35,41.207993,206.22092,1.369962453842163
43,421,3720.7224,-0.032376558,41.7,41.575943,207.83527,1.707777500152588
44,431,3784.0532,-0.031455386,42.36,42.23095,211.30515,1.8389556407928467
45,441,3794.0002,-0.024327537,42.41,42.27444,211.41568,1.5430762767791748
46,451,3813.161,-0.02317255,42.579998,42.470055,212.28383,1.5561285018920898
47,461,3854.2656,-0.023405787,42.989998,42.866913,214.23311,1.6015725135803223
48,471,3860.07,-0.023821294,43.019997,42.922604,214.36063,1.7822933197021484
49,481,3903.4104,-0.02323685,43.469997,43.316605,216.70895,1.6022331714630127
50,491,3912.6829,-0.023593526,43.519997,43.32196,216.97249,1.6184182167053223
51,501,3918.8164,-0.02338447,43.53,43.348167,216.86722,1.6838979721069336
52,511,3959.076,-0.022864727,43.949997,43.84538,219.05801,1.4138524532318115
53,521,3967.878,-0.02508891,43.98,43.87397,219.30917,1.7240121364593506
54,531,3988.977,-0.024093052,44.2,44.092903,220.42892,1.8277430534362793
55,541,4007.5593,-0.01941292,44.36,44.273506,221.06042,1.6479716300964355
56,551,3999.4746,-0.018955545,44.219997,44.05207,220.37328,1.6906912326812744
57,561,4020.4377,-0.02008732,44.42,44.282944,221.57388,1.6670608520507812
58,571,3979.9548,-0.0187849,43.949997,43.834633,219.17998,1.8275461196899414
59,581,4072.2815,-0.020193543,44.92,44.826378,224.08157,1.5441858768463135
60,591,4130.3,-0.017853517,45.54,45.347355,226.8369,1.4166970252990723
61,601,4087.4106,-0.01881992,45.02,44.868057,224.70236,1.3579957485198975
62,611,4054.091,-0.01949675,44.61,44.48472,222.38388,1.41865873336792
63,621,4095.333,-0.018189635,45.03,44.943275,224.77834,1.5806238651275635
64,631,4132.1514,-0.018646017,45.42,45.308308,226.44907,1.5928187370300293
65,641,4133.981,-0.019293353,45.39,45.29789,226.23814,1.4611141681671143
66,651,4144.54,-0.017224826,45.47,45.35006,226.91069,1.617445707321167
67,661,4169.555,-0.018413514,45.719997,45.622135,227.88698,1.3471901416778564
68,671,4184.5767,-0.01993112,45.87,45.71743,228.75435,1.8188257217407227
69,681,4162.6235,-0.01866733,45.579998,45.40978,227.35281,1.5103709697723389
70,691,4205.7446,-0.018309789,46.01,45.8359,229.39856,1.6923296451568604
71,701,4202.1284,-0.018447436,45.96,45.785034,229.12231,1.3447480201721191
72,711,4250.1733,-0.01839535,46.46,46.331337,231.62437,1.2067937850952148
73,721,4266.0454,-0.018937254,46.6,46.42813,232.31003,1.6802749633789062
74,731,4253.8257,-0.019122891,46.429996,46.334084,231.60368,1.5596067905426025
75,741,4300.2397,-0.01897745,46.93,46.791397,234.03734,1.546485185623169
76,751,4271.78,-0.018595932,46.579998,46.43685,232.02502,1.6205322742462158
77,761,4324.6167,-0.019001754,47.149998,46.982574,234.93918,1.5777003765106201
78,771,4261.148,-0.01790366,46.399998,46.26228,231.67603,1.6482276916503906
79,781,4317.5576,-0.019405793,47.0,46.80178,234.18571,1.6219322681427002
80,791,4356.9883,-0.018080171,47.43,47.30107,236.46121,1.8559584617614746
81,801,4326.786,-0.019211631,47.059998,46.95587,234.59393,1.6325197219848633
82,811,4344.4966,-0.019162664,47.239998,47.122734,235.71964,1.664057970046997
83,821,4352.9917,-0.018575808,47.3,47.15866,235.80283,1.5053353309631348
84,831,4421.2637,-0.019378291,48.01,47.897144,239.11658,1.6481034755706787
85,841,4351.354,-0.018908788,47.239998,47.14665,235.52846,1.758239507675171
86,851,4377.532,-0.012492545,47.5,47.37335,236.88077,1.8413715362548828
87,861,4391.758,-0.01320898,47.63,47.49662,237.33438,1.6774976253509521
88,871,4359.2886,-0.013272546,47.25,47.196754,235.45685,1.667295217514038
89,881,4354.513,-0.012457317,47.18,47.06009,235.25107,1.8251135349273682
90,891,4398.462,-0.012376187,47.62,47.517708,237.3388,1.3027119636535645
91,901,4386.977,-0.012465991,47.48,47.273678,236.80011,1.5623366832733154
92,911,4455.5312,-0.011778672,48.2,48.059395,240.61505,1.6585063934326172
93,921,4466.6426,-0.0109857535,48.31,48.195396,240.7453,1.5321376323699951
94,931,4429.1196,-0.013263296,47.88,47.69622,238.60637,1.4086847305297852
95,941,4491.5366,-0.012195223,48.55,48.418934,242.2454,1.5780985355377197
96,951,4448.5737,-0.011696848,48.04,47.921947,239.76088,1.6344358921051025
97,961,4483.031,-0.012657355,48.41,48.316708,241.41275,1.7466444969177246
98,971,4493.752,-0.012881594,48.5,48.372726,241.66945,1.5327210426330566
99,981,4433.496,-0.013055239,47.829998,47.664623,238.49776,1.5115432739257812
100,991,4461.7046,-0.013315177,48.11,47.978996,239.75682,1.6094670295715332
101,1001,4473.6655,-0.011717944,48.24,48.107086,240.47318,1.313706398010254
102,1011,4481.827,-0.012583711,48.28,48.10942,240.65858,1.6904118061065674
103,1021,4485.0757,-0.012900966,48.29,48.17743,240.64575,1.5107717514038086
104,1031,4468.968,-0.012525366,48.12,47.974968,239.75534,1.4790945053100586
105,1041,4468.628,-0.0112257125,48.12,47.98371,239.9805,1.5241353511810303
106,1051,4516.7344,-0.013268287,48.64,48.569977,242.40427,1.567702293395996
107,1061,4445.1294,-0.012945288,47.86,47.697132,238.66998,1.5698719024658203
108,1071,4455.28,-0.012007023,48.0,47.91225,239.17148,1.6136775016784668
109,1081,4451.927,-0.012600926,47.98,47.847267,239.13162,1.4575603008270264
110,1091,4488.9717,-0.013463056,48.38,48.247547,241.03809,1.5631604194641113
111,1101,4512.548,-0.012028558,48.649998,48.53542,242.75882,1.8297655582427979
112,1111,4507.29,-0.012660682,48.6,48.431755,242.3601,1.4864726066589355
113,1121,4513.319,-0.012755546,48.68,48.534794,242.6871,1.7194328308105469
114,1131,4502.114,-0.012761411,48.559998,48.442055,242.16959,1.796203851699829
115,1141,4534.341,-0.012623926,48.94,48.75457,244.36507,1.5420432090759277
116,1151,4539.045,-0.013209255,48.999996,48.816383,244.36282,1.6738231182098389
117,1161,4502.438,-0.011507753,48.6,48.47676,242.24448,1.4372763633728027
