loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,90.36169,-0.1002423,1.23,1.2248921,6.09978,5.905073404312134
2,11,457.07086,-0.08573166,6.1099997,6.0903006,30.449986,1.52250337600708
3,21,721.8158,-0.069007054,9.5199995,9.499346,47.529297,1.2331738471984863
4,31,929.6755,-0.06794445,12.11,12.048946,60.426926,1.39347243309021
5,41,1150.7219,-0.06971626,14.849999,14.803814,74.12831,1.2479362487792969
6,51,1330.9088,-0.06387221,16.99,16.92088,84.60785,1.5162148475646973
7,61,1507.0157,-0.06303198,19.08,19.02383,95.16056,1.5179026126861572
8,71,1637.5316,-0.05807631,20.56,20.522871,102.48449,1.5258252620697021
9,81,1758.6279,-0.057200022,21.939999,21.91201,109.3515,1.5429682731628418
10,91,1860.6731,-0.046122786,23.039999,22.959526,114.93724,1.530358076095581
11,101,1967.378,-0.04566135,24.25,24.199183,120.95746,1.175114393234253
12,111,2087.3203,-0.046802618,25.59,25.525723,127.64259,1.524862289428711
13,121,2180.4387,-0.046564884,26.56,26.476265,132.40613,1.5240943431854248
14,131,2274.4495,-0.04626496,27.609999,27.510883,137.54907,1.536613941192627
15,141,2336.5947,-0.046814755,28.18,28.106724,140.53674,1.4312241077423096
16,151,2446.6016,-0.047126167,29.42,29.35257,146.63925,1.1661624908447266
17,161,2539.836,-0.04593155,30.41,30.293137,151.55371,1.5214624404907227
18,171,2586.2722,-0.040742163,30.84,30.780891,153.76648,1.5471620559692383
19,181,2693.4512,-0.041601427,32.02,31.920887,159.75516,1.5395481586456299
20,191,2710.6755,-0.03468076,32.07,32.012222,159.80357,1.5202465057373047
21,201,2791.0132,-0.034965426,32.95,32.82987,164.38062,1.526012897491455
22,211,2867.075,-0.034899566,33.76,33.666218,168.36179,1.5317423343658447
23,221,2939.1553,-0.033784516,34.52,34.376537,172.02994,1.4593708515167236
24,231,3020.0588,-0.03401325,35.34,35.243294,176.05833,1.524143934249878
25,241,3043.9722,-0.03389355,35.55,35.43389,177.57893,1.5273239612579346
26,251,3109.5835,-0.03313737,36.21,36.107513,180.57645,1.5184288024902344
27,261,3151.8862,-0.033497885,36.579998,36.497066,182.35437,1.5217173099517822
28,271,3270.8152,-0.02996279,37.93,37.830963,189.0911,1.5292963981628418
29,281,3267.6826,-0.030253934,37.78,37.6491,188.49252,1.51790452003479
30,291,3262.1006,-0.029542824,37.62,37.4783,187.56427,1.5340814590454102
31,301,3341.647,-0.030752294,38.48,38.34075,191.80959,1.525390625
32,311,3400.2239,-0.030673286,39.1,39.028904,194.92662,1.519670009613037
33,321,3421.3982,-0.030571984,39.239998,39.16621,195.61859,1.5191328525543213
34,331,3444.9084,-0.029149259,39.449997,39.33612,196.67834,1.5167057514190674
35,341,3504.6843,-0.03001539,40.079998,39.908413,199.62724,1.55059814453125
36,351,3544.6245,-0.023728633,40.44,40.33085,201.75864,1.5201311111450195
37,361,3548.644,-0.023276698,40.41,40.297203,201.69191,1.515949010848999
38,371,3586.4648,-0.024493536,40.78,40.65585,203.15112,1.223968267440796
39,381,3654.2273,-0.023082452,41.489998,41.4158,206.75917,1.527998924255371
40,391,3635.2988,-0.024149667,41.21,41.08236,205.36694,1.523139238357544
41,401,3717.345,-0.024011083,42.06,41.878754,209.65578,1.5256121158599854
42,411,3742.2146,-0.023120916,42.29,42.147285,210.76965,1.52089262008667
43,421,3772.2446,-0.023945082,42.559998,42.425552,212.13623,1.5394537448883057
44,431,3775.9443,-0.024213264,42.559998,42.46735,212.14124,1.5518872737884521
45,441,3821.8142,-0.02290022,43.03,42.90864,214.56238,1.5168089866638184
46,451,3854.2576,-0.022978382,43.339996,43.24857,216.18155,1.5290625095367432
47,461,3881.5818,-0.023055103,43.59,43.499958,217.35352,1.5297613143920898
48,471,3898.7046,-0.023910807,43.719997,43.624893,217.68726,1.5357170104980469
49,481,3910.319,-0.023500247,43.8,43.65549,218.29996,1.5251681804656982
50,491,3926.482,-0.024296958,43.93,43.77093,218.87857,1.5510222911834717
51,501,3939.9988,-0.024244435,44.039997,43.88996,219.47186,1.5197319984436035
52,511,3958.938,-0.024050396,44.2,44.03546,220.3106,1.5198206901550293
53,521,3997.1707,-0.023751128,44.57,44.4106,222.24074,1.5271925926208496
54,531,4058.6848,-0.02370057,45.24,45.13351,225.62344,1.5200319290161133
55,541,4057.2332,-0.023404894,45.16,45.01751,225.10434,1.5243871212005615
56,551,4110.5645,-0.024035446,45.719997,45.511284,227.75517,1.5241000652313232
57,561,4072.253,-0.023744091,45.24,45.12932,225.70969,1.5204224586486816
58,571,4119.0234,-0.023310311,45.739998,45.529037,227.9748,1.5384583473205566
59,581,4149.6265,-0.022643643,46.03,45.897045,229.4571,1.514148235321045
60,591,4143.73,-0.024047427,45.92,45.765724,228.97704,1.5193126201629639
