loop,iteration,qd_score,max_fitness,coverage,time
1,1,91.38718,-0.12298663,1.23,1.749192714691162
2,11,484.1448,-0.10388941,6.45,0.6343438625335693
3,21,796.12195,-0.081210725,10.5,0.6315710544586182
4,31,1068.1802,-0.081210725,13.959999,0.7257843017578125
5,41,1316.1354,-0.07754871,17.019999,0.6685061454772949
6,51,1545.696,-0.050354447,19.849998,0.6388802528381348
7,61,1733.9655,-0.050354447,22.1,0.6386690139770508
8,71,1921.1113,-0.050354447,24.32,0.6803848743438721
9,81,2110.1387,-0.050354447,26.549997,0.6664555072784424
10,91,2284.7974,-0.050354447,28.599998,0.6641366481781006
11,101,2431.9634,-0.050354447,30.269999,0.6682741641998291
12,111,2588.8555,-0.040339153,32.06,0.6398396492004395
13,121,2731.7705,-0.040339153,33.67,0.6402735710144043
14,131,2874.1152,-0.040339153,35.27,0.6746599674224854
15,141,3016.0952,-0.040339153,36.87,0.6685032844543457
16,151,3142.8628,-0.040339153,38.28,0.6642820835113525
17,161,3272.0728,-0.040339153,39.71,0.6719262599945068
18,171,3410.8743,-0.040339153,41.25,0.6468889713287354
19,181,3514.2832,-0.03430713,42.379997,0.6456141471862793
20,191,3622.2007,-0.03430713,43.53,0.6385667324066162
21,201,3729.708,-0.03430713,44.68,0.641913890838623
22,211,3834.018,-0.03430713,45.8,0.6416022777557373
23,221,3940.2354,-0.03430713,46.949997,0.6691915988922119
24,231,4048.7983,-0.03430713,48.11,0.6600000858306885
25,241,4142.6133,-0.03430713,49.1,0.6558661460876465
26,251,4229.0522,-0.03430713,50.0,0.6603116989135742
27,261,4305.6973,-0.03430713,50.78,0.6656980514526367
28,271,4391.964,-0.03430713,51.65,0.645820140838623
29,281,4474.7725,-0.027149497,52.489998,0.6406705379486084
30,291,4549.682,-0.027149497,53.249996,0.6452014446258545
31,301,4634.997,-0.027149497,54.109997,0.6721925735473633
32,311,4715.5957,-0.027149497,54.93,0.6779038906097412
33,321,4792.066,-0.027149497,55.71,0.6678876876831055
34,331,4863.2275,-0.027149497,56.42,0.6607511043548584
35,341,4938.983,-0.027149497,57.199997,0.6435773372650146
36,351,5006.3623,-0.027149497,57.87,0.6423964500427246
37,361,5083.1147,-0.027149497,58.66,0.6688323020935059
38,371,5155.8735,-0.027149497,59.399998,0.6580405235290527
39,381,5222.7817,-0.027149497,60.069996,0.6681239604949951
40,391,5271.811,-0.027149497,60.539997,0.6847543716430664
41,401,5334.5347,-0.027149497,61.17,0.6406264305114746
42,411,5395.7407,0.0,61.769997,0.640704870223999
43,421,5451.881,0.0,62.32,0.6587517261505127
44,431,5520.2734,0.0,63.0,0.6665332317352295
45,441,5576.5796,0.0,63.549995,0.6666569709777832
