loop,iteration,qd_score,max_fitness,coverage,time
1,1,85.66262,-0.12261717,1.15,3.3219120502471924
2,11,422.15778,-0.11070024,5.6,0.8719711303710938
3,21,690.7744,-0.094325766,9.0199995,0.8605282306671143
4,31,897.5727,-0.09342319,11.599999,0.8634366989135742
5,41,1077.5049,-0.090314485,13.74,0.853905200958252
6,51,1244.534,-0.08189446,15.75,0.8530745506286621
7,61,1377.58,-0.0729368,17.31,0.8635289669036865
8,71,1519.5105,-0.071743324,18.96,0.8566799163818359
9,81,1636.768,-0.07240341,20.32,0.8513407707214355
10,91,1763.3269,-0.07184404,21.789999,0.864295244216919
11,101,1855.226,-0.072138056,22.8,0.8553175926208496
12,111,1953.04,-0.073437944,23.9,0.8682630062103271
13,121,2075.5059,-0.0665745,25.259998,0.8658304214477539
14,131,2136.4226,-0.0571373,25.88,0.8585190773010254
15,141,2245.5525,-0.05888893,27.109999,0.8620154857635498
16,151,2306.2378,-0.05760432,27.71,0.8741638660430908
17,161,2371.014,-0.053827662,28.380001,0.8594820499420166
18,171,2438.8135,-0.05331549,29.13,0.8635680675506592
19,181,2537.559,-0.045960415,30.19,0.86661696434021
20,191,2553.4453,-0.04532585,30.249998,0.8583052158355713
21,201,2684.3179,-0.046233002,31.77,0.8678390979766846
22,211,2717.2966,-0.04599119,32.05,0.8779242038726807
23,221,2767.7515,-0.042825688,32.54,0.8638870716094971
24,231,2822.618,-0.04366362,33.1,0.8598053455352783
25,241,2891.3984,-0.040650547,33.84,0.8586270809173584
26,251,2947.2847,-0.04000356,34.39,0.871016263961792
27,261,3000.4543,-0.041212633,34.93,0.8639168739318848
28,271,3058.47,-0.0395424,35.53,0.8706083297729492
29,281,3101.2207,-0.039481685,35.95,1.0080487728118896
30,291,3159.0747,-0.0398512,36.539997,0.8612909317016602
31,301,3148.341,-0.040566172,36.35,0.8612492084503174
32,311,3217.5496,-0.038680688,37.059998,0.8881983757019043
33,321,3332.6086,-0.0388169,38.34,0.8744175434112549
34,331,3379.571,-0.037165098,38.83,0.8778796195983887
35,341,3330.2559,-0.038670413,38.17,0.8795177936553955
36,351,3425.4058,-0.037631586,39.23,0.8858625888824463
37,361,3491.0269,-0.0370603,39.859997,0.8789756298065186
38,371,3503.5198,-0.03789796,39.96,0.8674702644348145
39,381,3568.4062,-0.036868267,40.649998,0.8749480247497559
40,391,3587.598,-0.037405107,40.78,0.8685741424560547
41,401,3571.5374,-0.037064463,40.52,0.8626000881195068
42,411,3629.594,-0.03660544,41.149998,0.866248369216919
43,421,3659.6282,-0.036535498,41.42,0.8680508136749268
44,431,3730.902,-0.036576714,42.17,0.8585464954376221
45,441,3719.9087,-0.03314561,42.0,0.873511791229248
46,451,3726.7886,-0.03469557,42.02,0.8752412796020508
47,461,3820.1384,-0.034171674,43.019997,0.8733389377593994
48,471,3836.8962,-0.028446406,43.159996,0.8802807331085205
49,481,3823.689,-0.03005347,42.94,0.8745355606079102
50,491,3866.643,-0.028525714,43.35,0.8611655235290527
51,501,3901.1074,-0.028875144,43.71,0.8689956665039062
52,511,3910.0142,-0.028946014,43.78,0.8801145553588867
53,521,3968.7163,-0.030417833,44.36,0.8690388202667236
54,531,3959.7139,-0.029353708,44.2,0.8722941875457764
55,541,3987.5999,-0.028654695,44.46,0.8533251285552979
56,551,3971.6375,-0.029775016,44.28,0.8667206764221191
57,561,4022.6775,-0.028529303,44.77,0.868516206741333
58,571,4024.6943,-0.028638104,44.77,0.8845021724700928
59,581,4085.5652,-0.02876958,45.4,0.8806889057159424
60,591,4074.2886,-0.022663733,45.21,0.8603858947753906
61,601,4093.6562,-0.02297428,45.4,0.8581607341766357
62,611,4124.3916,-0.022537934,45.699997,0.8687577247619629
63,621,4135.1665,-0.022772469,45.8,0.8645422458648682
64,631,4189.7593,-0.023104502,46.35,0.8687236309051514
65,641,4197.355,-0.022165168,46.399998,0.8778707981109619
66,651,4184.7124,-0.022442456,46.23,0.8693854808807373
67,661,4219.915,-0.022232844,46.589996,0.8711917400360107
68,671,4216.3184,-0.022689661,46.51,0.8686370849609375
69,681,4200.8213,-0.023631237,46.3,0.8761744499206543
70,691,4269.3164,-0.023172101,47.02,0.8798463344573975
71,701,4260.24,-0.023203382,46.89,0.8653407096862793
72,711,4262.96,-0.022973267,46.89,0.8715801239013672
73,721,4282.3887,-0.02202221,47.059998,0.8576667308807373
74,731,4287.496,-0.02198208,47.09,0.8629717826843262
