loop,iteration,qd_score,max_fitness,coverage,time
1,1,90.04462,-0.15419158,1.22,5.997276067733765
2,11,470.78848,-0.11968875,6.2799997,0.006254673004150391
3,21,776.8513,-0.101177864,10.2,0.006091117858886719
4,31,1042.6299,-0.07973308,13.549999,0.006354331970214844
5,41,1287.8303,-0.07973308,16.619999,0.006033658981323242
6,51,1489.3207,-0.07973308,19.07,0.005826234817504883
7,61,1700.6123,-0.066057175,21.609999,0.006280183792114258
8,71,1886.3792,-0.066057175,23.83,0.003787517547607422
9,81,2058.9937,-0.066057175,25.849998,0.006052970886230469
10,91,2198.5732,-0.066057175,27.46,0.006617546081542969
11,101,2343.2236,-0.066057175,29.09,0.0054438114166259766
12,111,2483.365,-0.05497855,30.689999,0.007750511169433594
13,121,2615.2278,-0.050767146,32.219997,0.007537841796875
14,131,2754.9668,-0.050767146,33.79,0.007170677185058594
15,141,2883.2847,-0.050767146,35.219997,0.00761866569519043
16,151,2994.4446,-0.050767146,36.46,0.007361173629760742
17,161,3119.8381,-0.050767146,37.85,0.006925106048583984
18,171,3248.499,-0.049908362,39.28,0.0059778690338134766
19,181,3351.0525,-0.049908362,40.39,0.007241487503051758
20,191,3458.1704,-0.049908362,41.54,0.0074040889739990234
21,201,3559.9373,-0.049908362,42.62,0.005954742431640625
22,211,3647.3909,-0.045202892,43.53,0.00809478759765625
23,221,3733.707,-0.045202892,44.42,0.007675647735595703
24,231,3830.8594,-0.045202892,45.45,0.00758671760559082
25,241,3919.6768,-0.045202892,46.36,0.007509946823120117
26,251,4014.2957,-0.045202892,47.36,0.009157657623291016
27,261,4092.3813,-0.045202892,48.17,0.0061283111572265625
28,271,4186.04,-0.044917874,49.149998,0.0060272216796875
29,281,4274.0977,-0.044917874,50.05,0.006524801254272461
30,291,4357.0713,-0.0319603,50.91,0.007482051849365234
31,301,4438.6045,-0.0319603,51.76,0.0078012943267822266
32,311,4514.587,-0.0319603,52.53,0.006375312805175781
33,321,4596.424,-0.0319603,53.34,0.006075382232666016
34,331,4674.3804,-0.03191897,54.129997,0.006072282791137695
35,341,4745.008,-0.03191897,54.84,0.008644342422485352
36,351,4813.9463,-0.03191897,55.53,0.006354093551635742
37,361,4883.7812,-0.03191897,56.23,0.006945610046386719
38,371,4944.4126,-0.03191897,56.82,0.0057525634765625
