loop,iteration,qd_score,max_fitness,coverage,time
1,1,88.66925,-0.15174957,1.2,5.826653957366943
2,11,405.97284,-0.12255742,5.3799996,1.6943085193634033
3,21,648.92554,-0.10353464,8.46,1.3059701919555664
4,31,841.53015,-0.08070645,10.82,1.6715044975280762
5,41,1019.1719,-0.08046486,13.03,1.0281734466552734
6,51,1138.949,-0.080067374,14.43,1.3678851127624512
7,61,1313.889,-0.06515184,16.52,1.4689750671386719
8,71,1428.9768,-0.06517045,17.83,1.6140515804290771
9,81,1538.185,-0.06481335,19.1,1.6121330261230469
10,91,1637.0135,-0.06612341,20.199999,1.7629258632659912
11,101,1716.2439,-0.06643651,21.06,1.6236572265625
12,111,1798.7903,-0.054919288,21.99,1.9355826377868652
13,121,1874.8684,-0.050641768,22.849998,1.50014066696167
14,131,1979.5496,-0.05131272,24.03,1.890326976776123
15,141,2040.8959,-0.050287694,24.659998,1.8123788833618164
16,151,2113.59,-0.05087764,25.45,1.7413890361785889
17,161,2229.2666,-0.051449392,26.769999,1.8149778842926025
18,171,2289.7263,-0.043353863,27.39,1.8217658996582031
19,181,2368.5168,-0.04334422,28.25,1.8414137363433838
20,191,2434.5845,-0.042949215,28.95,1.8455142974853516
21,201,2471.404,-0.04484556,29.269999,1.8407723903656006
22,211,2523.7996,-0.042595968,29.799997,1.8911304473876953
23,221,2621.0947,-0.044920884,30.879997,1.9146857261657715
24,231,2666.692,-0.04402157,31.32,1.9003334045410156
25,241,2740.8438,-0.04462876,32.11,1.8958020210266113
26,251,2754.9873,-0.04311052,32.15,1.9192628860473633
27,261,2801.6404,-0.04385343,32.66,1.878274917602539
28,271,2835.3062,-0.04320485,32.94,1.900411605834961
29,281,2933.466,-0.042343862,34.03,1.9210152626037598
30,291,2968.2744,-0.034242027,34.36,1.8822021484375
31,301,3000.5515,-0.03414021,34.63,1.854266881942749
32,311,3062.7517,-0.033261456,35.31,1.8324341773986816
33,321,3076.1238,-0.03287646,35.36,1.790931224822998
34,331,3166.6191,-0.032871287,36.32,1.8063299655914307
35,341,3179.855,-0.032870248,36.409996,1.8785805702209473
36,351,3266.3604,-0.032308586,37.35,1.7873115539550781
37,361,3335.2112,-0.033544846,38.079998,1.864816665649414
38,371,3323.4165,-0.033266388,37.87,1.8783578872680664
39,381,3340.938,-0.03280914,38.01,1.9130873680114746
40,391,3409.1157,-0.033034276,38.74,1.8509671688079834
41,401,3400.4749,-0.032490905,38.56,1.861635446548462
42,411,3478.8616,-0.03221301,39.39,1.8882982730865479
43,421,3529.8608,-0.031793457,39.92,1.8944685459136963
44,431,3544.257,-0.0253623,40.03,1.3454360961914062
45,441,3587.1265,-0.024682961,40.489998,1.720304012298584
46,451,3615.297,-0.023726232,40.73,1.725616693496704
47,461,3632.286,-0.02453389,40.86,1.7230958938598633
48,471,3654.1064,-0.025116766,41.079998,1.8432464599609375
49,481,3688.827,-0.025100155,41.44,1.9198808670043945
50,491,3691.492,-0.023959992,41.38,1.8456463813781738
51,501,3746.451,-0.024461674,41.97,1.889305591583252
52,511,3766.9941,-0.025013974,42.15,1.8283090591430664
53,521,3785.8542,-0.024532484,42.309998,1.8685204982757568
54,531,3823.2197,-0.024585038,42.679996,1.7990353107452393
55,541,3793.3535,-0.024706732,42.3,1.8403306007385254
56,551,3842.3987,-0.024149409,42.789997,1.839111089706421
57,561,3897.1865,-0.024225552,43.359997,1.9086582660675049
58,571,3888.9785,-0.023761606,43.219997,1.8699262142181396
59,581,3912.1638,-0.024701988,43.429996,1.8937489986419678
60,591,3904.9768,-0.02484951,43.309998,1.8257992267608643
61,601,3967.8174,-0.024297534,43.98,1.4592256546020508
62,611,3962.917,-0.024513632,43.86,1.5044786930084229
63,621,4029.8816,-0.024663696,44.59,1.2884151935577393
64,631,4043.3242,-0.024990104,44.68,1.7388439178466797
