loop,iteration,qd_score,max_fitness,coverage,time
1,1,609.45325,-0.08423292,8.16,2.1978447437286377
2,11,2218.3843,-0.072517276,28.039999,0.017912626266479492
3,21,3255.646,-0.057022303,39.719997,0.020032644271850586
4,31,4023.6514,-0.0321512,47.87,0.017814159393310547
5,41,4666.2144,-0.0321512,54.55,0.017976045608520508
6,51,5178.306,-0.03138607,59.67,0.017841100692749023
7,61,5570.3477,-0.03138607,63.46,0.01777029037475586
8,71,5877.4756,-0.024138834,66.26,0.0176088809967041
9,81,6136.5615,-0.024138834,68.58,0.01799798011779785
10,91,6318.7734,-0.019228932,70.11,0.01778864860534668
11,101,6500.0645,-0.009244697,71.65,0.017661571502685547
12,111,6626.6904,-0.009244697,72.65,0.017934560775756836
13,121,6715.4966,-0.009244697,73.29,0.01784229278564453
14,131,6811.4497,-0.009244697,74.03,0.01786971092224121
15,141,6888.913,-0.009244697,74.59,0.0178070068359375
16,151,6946.9775,-0.009244697,74.979996,0.01790928840637207
17,161,6993.7026,-0.009244697,75.259995,0.017847299575805664
18,171,7038.953,-0.0,75.57,0.017739534378051758
19,181,7077.2104,-0.0,75.83,0.017771005630493164
20,191,7111.52,-0.0,76.06,0.017728328704833984
21,201,7147.8413,-0.0,76.32,0.017691373825073242
22,211,7176.9893,-0.0,76.509995,0.01775050163269043
23,221,7205.4,-0.0,76.71,0.017541885375976562
24,231,7231.079,-0.0,76.9,0.017859935760498047
25,241,7251.8184,-0.0,77.04,0.017649173736572266
26,251,7275.963,-0.0,77.22,0.017552852630615234
27,261,7293.3984,-0.0,77.34,0.01781940460205078
28,271,7308.1787,-0.0,77.43,0.01765918731689453
29,281,7320.1055,-0.0,77.5,0.017471790313720703
30,291,7331.514,-0.0,77.57,0.01769399642944336
31,301,7342.2397,-0.0,77.64,0.01762700080871582
32,311,7356.9863,-0.0,77.75,0.017531633377075195
33,321,7366.87,-0.0,77.81,0.017851591110229492
34,331,7374.3765,-0.0,77.85,0.017679691314697266
35,341,7382.416,-0.0,77.9,0.01762866973876953
36,351,7389.751,-0.0,77.939995,0.017694950103759766
37,361,7400.352,-0.0,78.02,0.017720460891723633
38,371,7405.906,-0.0,78.049995,0.017637968063354492
39,381,7415.8438,-0.0,78.13,0.017674922943115234
40,391,7422.075,-0.0,78.17,0.017500638961791992
41,401,7430.783,-0.0,78.24,0.01743292808532715
42,411,7438.826,-0.0,78.299995,0.017721176147460938
43,421,7442.0044,-0.0,78.31,0.017826318740844727
44,431,7447.7104,-0.0,78.35,0.017662525177001953
45,441,7449.7783,-0.0,78.35,0.017989397048950195
46,451,7454.3784,-0.0,78.38,0.01768803596496582
47,461,7459.89,-0.0,78.42,0.01772451400756836
48,471,7461.637,-0.0,78.42,0.01758575439453125
49,481,7463.2554,-0.0,78.42,0.017745256423950195
50,491,7465.7983,-0.0,78.43,0.017694711685180664
51,501,7468.2344,-0.0,78.439995,0.017477035522460938
52,511,7469.232,-0.0,78.45,0.04038643836975098
53,521,7472.624,-0.0,78.49,0.04015612602233887
