loop,iteration,qd_score,max_fitness,coverage,time
1,1,641.0628,-0.08456239,8.639999,5.079095840454102
2,11,2327.5698,-0.059003912,29.599998,0.03550553321838379
3,21,3444.558,-0.059003912,42.29,0.03468012809753418
4,31,4323.182,-0.047101878,51.75,0.020514965057373047
5,41,5020.9775,-0.025121015,59.02,0.03484177589416504
6,51,5578.6006,-0.025121015,64.6,0.03477358818054199
7,61,6067.6724,-0.025121015,69.4,0.03438234329223633
8,71,6452.9727,-0.022265892,73.07,0.03425955772399902
9,81,6785.3267,-0.021378499,76.14,0.03534650802612305
10,91,7055.624,-0.021378499,78.6,0.027648448944091797
11,101,7272.94,-0.013633957,80.53,0.03422808647155762
12,111,7445.83,-0.013633957,81.97,0.034279584884643555
13,121,7595.642,-0.00909867,83.22,0.036942481994628906
14,131,7734.4424,-0.00909867,84.369995,0.03449225425720215
15,141,7852.3535,-0.0002747088,85.35,0.03440713882446289
16,151,7951.302,0.0031336574,86.14,0.03745746612548828
17,161,8021.3433,0.0031336574,86.63,0.038156986236572266
18,171,8107.945,0.0031336574,87.33,0.0278928279876709
19,181,8177.127,0.004252644,87.85,0.02055048942565918
20,191,8235.701,0.004252644,88.29,0.03743147850036621
21,201,8288.016,0.004252644,88.68,0.03826260566711426
22,211,8337.731,0.004252644,89.049995,0.03484344482421875
23,221,8376.838,0.004252644,89.32,0.03505825996398926
24,231,8423.14,0.004252644,89.689995,0.03477740287780762
25,241,8453.714,0.004252644,89.89,0.03665947914123535
26,251,8484.89,0.004252644,90.1,0.03520560264587402
27,261,8519.251,0.004252644,90.35,0.020367860794067383
28,271,8558.396,0.004252644,90.67,0.020433664321899414
29,281,8586.886,0.004252644,90.88,0.03805708885192871
30,291,8613.226,0.004252644,91.07,0.02261972427368164
31,301,8638.587,0.0049791215,91.25,0.027752399444580078
32,311,8666.96,0.0049791215,91.479996,0.042337656021118164
33,321,8685.908,0.0049791215,91.61,0.03563714027404785
34,331,8705.037,0.0049791215,91.75,0.03441214561462402
35,341,8721.614,0.0049791215,91.86,0.03508901596069336
36,351,8739.708,0.0049791215,91.99,0.0370175838470459
37,361,8759.517,0.0049791215,92.14,0.03497028350830078
38,371,8777.155,0.0049791215,92.27,0.03498244285583496
39,381,8789.2295,0.0049791215,92.34,0.0206146240234375
40,391,8805.379,0.0051290113,92.46,0.03499197959899902
41,401,8818.741,0.0051290113,92.549995,0.034699440002441406
42,411,8832.304,0.00610776,92.65,0.03459000587463379
43,421,8845.05,0.00610776,92.74,0.035196542739868164
44,431,8857.947,0.00610776,92.829994,0.034763336181640625
45,441,8869.132,0.00610776,92.9,0.034937143325805664
46,451,8876.971,0.00610776,92.939995,0.03628802299499512
47,461,8883.552,0.00610776,92.97,0.03817296028137207
48,471,8893.718,0.00610776,93.04,0.03819417953491211
49,481,8905.945,0.011852087,93.13,0.03455686569213867
50,491,8911.288,0.011852087,93.15,0.03391742706298828
51,501,8923.265,0.011852087,93.24,0.03438758850097656
52,511,8923.333,0.011852087,93.24,0.20520877838134766
53,521,8923.363,0.011852087,93.24,0.19243812561035156
54,531,8923.415,0.011852087,93.24,0.18547725677490234
55,541,8923.416,0.011852087,93.24,0.1997690200805664
56,551,8923.453,0.011852087,93.24,0.199371337890625
57,561,8923.492,0.011852087,93.24,0.12168264389038086
