loop,iteration,qd_score,max_fitness,coverage,time
1,1,609.45325,-0.08423292,8.16,1.8615365028381348
2,11,2218.3843,-0.072517276,28.039997,0.6733629703521729
3,21,3255.646,-0.057022303,39.719997,0.6688363552093506
4,31,4023.6514,-0.0321512,47.87,0.6717486381530762
5,41,4666.2144,-0.0321512,54.55,0.677708625793457
6,51,5177.4834,-0.03138607,59.66,0.673081636428833
7,61,5569.5254,-0.03138607,63.449997,0.6716053485870361
8,71,5876.6123,-0.024138834,66.25,0.6732571125030518
9,81,6136.5615,-0.024138834,68.579994,0.6763396263122559
10,91,6318.7734,-0.019228932,70.11,0.6747488975524902
11,101,6500.0645,-0.009244697,71.65,0.6762599945068359
12,111,6625.788,-0.009244697,72.64,0.6767587661743164
13,121,6715.4966,-0.009244697,73.28999,0.6762681007385254
14,131,6811.4497,-0.009244697,74.03,0.6754460334777832
15,141,6888.913,-0.009244697,74.59,0.6769852638244629
16,151,6946.041,-0.009244697,74.97,0.6756408214569092
17,161,6993.7026,-0.009244697,75.259995,0.6794514656066895
18,171,7038.953,0.0,75.57,0.6767482757568359
19,181,7077.2104,0.0,75.83,0.6808559894561768
20,191,7111.52,0.0,76.06,0.672670841217041
21,201,7147.8413,0.0,76.32,0.673255443572998
22,211,7176.9893,0.0,76.51,0.6738011837005615
23,221,7205.4,0.0,76.71,0.6715857982635498
24,231,7231.079,0.0,76.9,0.6724257469177246
25,241,7251.8184,0.0,77.04,0.6688821315765381
26,251,7275.963,0.0,77.22,0.6756396293640137
27,261,7293.3984,0.0,77.340004,0.6760115623474121
28,271,7308.1787,0.0,77.43,0.6778018474578857
29,281,7320.1055,0.0,77.5,0.668128490447998
30,291,7331.514,0.0,77.57,0.6713736057281494
31,301,7342.2397,0.0,77.64,0.672534704208374
32,311,7356.9863,0.0,77.75,0.6686961650848389
33,321,7366.87,0.0,77.81,0.6743438243865967
34,331,7374.3765,0.0,77.85,0.6727597713470459
35,341,7382.416,0.0,77.9,0.6720201969146729
36,351,7389.751,0.0,77.94,0.6711833477020264
37,361,7400.352,0.0,78.020004,0.6698780059814453
38,371,7405.906,0.0,78.05,0.6685693264007568
