loop,iteration,qd_score,max_fitness,coverage,time
1,1,542.0356,-0.08499309,7.2299995,5.999330282211304
2,11,1654.5391,-0.056497533,20.74,1.2993237972259521
3,21,2362.539,-0.056032494,28.650002,1.028803825378418
4,31,2881.9893,-0.043484773,34.14,1.593599796295166
5,41,3253.4236,-0.035873704,37.87,1.5970008373260498
6,51,3585.4648,-0.03579677,41.149998,1.3368091583251953
7,61,3838.6233,-0.035337962,43.55,1.339022159576416
8,71,4022.02,-0.03170968,45.23,1.3585009574890137
9,81,4175.4204,-0.029739322,46.57,1.6232531070709229
10,91,4270.1763,-0.02269048,47.329998,1.5500423908233643
11,101,4370.0576,-0.015392629,48.15,1.6477818489074707
12,111,4399.0894,-0.016001612,48.24,1.3309447765350342
13,121,4459.5117,-0.014891769,48.68,1.4842228889465332
14,131,4491.522,-0.01667531,48.85,1.5473697185516357
15,141,4561.9365,-0.012737834,49.469997,1.3093500137329102
16,151,4553.413,-0.01263646,49.249996,1.6477768421173096
17,161,4590.0527,-0.012706764,49.51,1.5231397151947021
18,171,4625.4673,-0.011857177,49.78,1.2166478633880615
19,181,4645.4937,-0.012609768,49.87,1.6085584163665771
20,191,4649.773,-0.011952929,49.859997,1.6535136699676514
21,201,4659.0596,-0.01169299,49.87,1.6479909420013428
22,211,4671.982,-0.012784648,49.949997,1.6524531841278076
23,221,4704.193,-0.0116936285,50.229996,1.6751019954681396
24,231,4682.048,-0.011675176,49.94,1.5747876167297363
25,241,4691.1694,-0.012415745,49.989998,1.680002212524414
26,251,4727.5107,-0.011743306,50.32,1.5640580654144287
27,261,4686.2764,-0.011315358,49.85,1.0496087074279785
28,271,4692.8955,-0.010970132,49.87,1.3192932605743408
29,281,4725.4937,-0.012696822,50.17,1.309093713760376
30,291,4742.229,-0.011285321,50.299995,1.4528279304504395
31,301,4688.6094,-0.011346574,49.699997,1.4826886653900146
32,311,4709.4907,-0.009627545,49.89,1.6026685237884521
33,321,4711.8486,-0.011121605,49.89,1.6805362701416016
34,331,4690.5347,-0.009839674,49.64,1.5918867588043213
35,341,4705.6973,-0.011116307,49.78,1.6296741962432861
36,351,4695.8003,-0.011014526,49.66,1.6599698066711426
37,361,4692.1597,-0.0102564255,49.589996,1.6009798049926758
38,371,4705.642,-0.00963842,49.699997,1.049621820449829
39,381,4693.7534,-0.010965098,49.559998,1.6775336265563965
40,391,4680.8813,-0.011115689,49.399998,1.6223196983337402
41,401,4680.8906,-0.010639641,49.39,1.6039977073669434
42,411,4683.1274,-0.010324022,49.39,1.5924780368804932
43,421,4711.1113,-0.01032295,49.67,1.6040518283843994
44,431,4715.5093,-0.010884488,49.71,1.6084342002868652
45,441,4691.2607,-0.009723243,49.429996,1.5896871089935303
46,451,4738.3335,-0.010948034,49.92,1.6562702655792236
47,461,4675.3887,-0.009283633,49.249996,1.6522130966186523
48,471,4718.858,-0.010287273,49.69,1.5975925922393799
49,481,4672.6494,-0.0097311605,49.19,1.657641887664795
50,491,4692.591,-0.010502336,49.379997,1.4634945392608643
51,501,4682.7266,-0.010940008,49.269997,1.5547213554382324
52,511,4700.918,-0.010050965,49.469997,1.2772464752197266
53,521,4672.423,-0.010530841,49.159996,1.4497504234313965
54,531,4673.6875,-0.00976486,49.179996,1.5146496295928955
55,541,4689.8057,-0.01018662,49.339996,1.5402839183807373
56,551,4720.5244,-0.010491069,49.67,1.3166332244873047
57,561,4656.5996,-0.010449835,48.989998,1.5144822597503662
58,571,4665.411,-0.008963641,49.079998,1.5094776153564453
59,581,4697.4385,-0.010049369,49.42,0.9743757247924805
60,591,4672.9897,-0.009303929,49.149998,1.5578935146331787
61,601,4664.086,-0.01073054,49.069996,1.4289357662200928
62,611,4632.803,-0.010420024,48.739998,1.4959726333618164
63,621,4696.274,-0.010626233,49.399998,1.482835292816162
64,631,4644.449,-0.010613853,48.85,1.5032310485839844
