loop,iteration,qd_score,max_fitness,coverage,time
1,1,606.0801,-0.082711816,8.19,3.7479634284973145
2,11,2243.8604,-0.07239156,28.33,0.03422379493713379
3,21,3272.2515,-0.054399874,39.879997,0.03419327735900879
4,31,4083.8813,-0.031988863,48.57,0.034198760986328125
5,41,4722.201,-0.02143139,55.149998,0.034000396728515625
6,51,5250.0806,-0.02143139,60.469997,0.033971548080444336
7,61,5621.49,-0.02143139,64.01,0.034162044525146484
8,71,5905.9688,-0.01917138,66.549995,0.03404736518859863
9,81,6129.6064,-0.01917138,68.479996,0.03400254249572754
10,91,6319.2065,-0.014424398,70.1,0.034024715423583984
11,101,6452.2427,-0.0044518053,71.15,0.034159183502197266
12,111,6583.984,-0.0,72.22,0.03423666954040527
13,121,6691.549,-0.0,73.049995,0.034281253814697266
14,131,6783.6006,-0.0,73.76,0.03417348861694336
15,141,6855.0273,-0.0,74.27,0.033966064453125
16,151,6921.792,-0.0,74.76,0.03399395942687988
17,161,6982.0723,-0.0,75.189995,0.034026145935058594
18,171,7028.257,-0.0,75.5,0.035089731216430664
19,181,7068.827,-0.0,75.78,0.034175872802734375
20,191,7099.7866,-0.0,75.97,0.03635811805725098
21,201,7132.9805,-0.0,76.189995,0.02152729034423828
22,211,7163.0684,-0.0,76.39,0.02768540382385254
23,221,7192.7544,-0.0,76.6,0.021274805068969727
24,231,7217.6274,-0.0,76.77,0.027965784072875977
25,241,7239.793,-0.0,76.92,0.02135181427001953
26,251,7261.061,-0.0,77.07,0.020460844039916992
27,261,7276.6357,-0.0,77.17,0.020226478576660156
28,271,7290.4893,-0.0,77.25,0.020133256912231445
29,281,7303.807,-0.0,77.33,0.020197391510009766
30,291,7315.3823,-0.0,77.4,0.020255327224731445
31,301,7321.2144,-0.0,77.409996,0.02033543586730957
32,311,7334.0527,-0.0,77.5,0.020197391510009766
33,321,7346.148,-0.0,77.59,0.021444082260131836
34,331,7354.448,-0.0,77.64,0.0343174934387207
35,341,7364.3374,-0.0,77.71,0.03427743911743164
36,351,7373.007,-0.0,77.77,0.03398942947387695
37,361,7380.4023,-0.0,77.82,0.03416085243225098
38,371,7390.636,-0.0,77.9,0.03419041633605957
39,381,7397.502,-0.0,77.939995,0.035292863845825195
40,391,7402.151,-0.0,77.96,0.03711748123168945
41,401,7408.236,-0.0,78.0,0.036385536193847656
42,411,7412.5195,-0.0,78.02,0.034012794494628906
43,421,7419.1885,-0.0,78.07,0.03636765480041504
44,431,7423.1655,-0.0,78.09,0.02010178565979004
45,441,7428.9287,-0.0,78.13,0.020144224166870117
46,451,7433.6553,-0.0,78.159996,0.02036571502685547
47,461,7438.3594,-0.0,78.189995,0.03400373458862305
48,471,7444.62,-0.0,78.24,0.03407764434814453
49,481,7449.2837,-0.0,78.27,0.03411054611206055
50,491,7454.702,-0.0,78.31,0.03393959999084473
51,501,923.6725,-0.046340942,10.11,0.03421640396118164
52,511,1869.7665,-0.016557332,20.68,0.07864642143249512
53,521,2699.8193,0.012435064,29.89,0.07034039497375488
54,531,3200.9685,0.012435064,35.38,0.07012724876403809
55,541,3520.5913,0.012435064,38.85,0.07093572616577148
56,551,3750.353,0.012435064,41.329998,0.07029128074645996
57,561,3913.0527,0.012442999,43.07,0.07051491737365723
58,571,4057.554,0.012442999,44.61,0.0713033676147461
59,581,4170.3535,0.012442999,45.82,0.07039928436279297
60,591,4263.4346,0.012442999,46.809998,0.07005476951599121
61,601,4361.712,0.012442999,47.87,0.0702354907989502
62,611,4439.7886,0.012766354,48.69,0.07007908821105957
63,621,4508.2334,0.012766354,49.41,0.06963944435119629
64,631,4588.5103,0.012766354,50.27,0.07064533233642578
65,641,4657.672,0.012766354,51.01,0.0700075626373291
66,651,4724.8203,0.012766354,51.73,0.07153034210205078
67,661,4787.4316,0.012766354,52.399998,0.07081961631774902
68,671,4846.3354,0.012766354,53.03,0.07093071937561035
69,681,4896.0454,0.012766354,53.559998,0.07074427604675293
70,691,4945.433,0.012766354,54.079998,0.07145977020263672
71,701,4992.0522,0.012766354,54.57,0.07077240943908691
72,711,5032.818,0.012766354,55.0,0.07022690773010254
73,721,5066.963,0.014922716,55.36,0.07090067863464355
74,731,5103.5884,0.014922716,55.739998,0.07179760932922363
75,741,5141.0396,0.014922716,56.129997,0.07471156120300293
76,751,832.18713,-0.05454074,9.21,0.07480430603027344
77,761,1134.2183,-0.038534816,12.5,0.048699378967285156
78,771,1291.9053,-0.0367104,14.21,0.04849386215209961
79,781,1390.258,-0.0367104,15.2699995,0.04848909378051758
80,791,1479.1422,-0.024033112,16.23,0.04855847358703613
81,801,1553.3768,-0.024033112,17.029999,0.04862213134765625
82,811,1613.9386,-0.024033112,17.68,0.048410654067993164
83,821,1659.2617,-0.024033112,18.16,0.04880118370056152
84,831,1707.7676,-0.024033112,18.68,0.04865622520446777
85,841,1758.7542,-0.024033112,19.23,0.05153608322143555
86,851,1798.7112,-0.019327661,19.66,0.0487210750579834
87,861,1836.9182,-0.019327661,20.07,0.06114530563354492
88,871,1870.1162,-0.016330294,20.43,0.04880404472351074
89,881,1907.3424,-0.016330294,20.83,0.05108642578125
90,891,1940.8257,-0.016330294,21.189999,0.07234883308410645
91,901,1964.1431,-0.016330294,21.439999,0.07249927520751953
92,911,1987.6426,-0.016330294,21.689999,0.07218647003173828
93,921,2015.6547,-0.0151990615,21.99,0.07239389419555664
94,931,2044.7711,-0.0076849554,22.3,0.07190871238708496
95,941,2063.621,-0.0076849554,22.5,0.07203936576843262
96,951,2089.8918,-0.004315933,22.779999,0.07238554954528809
97,961,2108.5076,-0.004315933,22.98,0.07307720184326172
98,971,2127.801,-0.004315933,23.189999,0.07264971733093262
99,981,2148.9768,-0.004315933,23.42,0.07203269004821777
100,991,2162.4531,-0.004315933,23.56,0.0730123519897461
101,1001,634.9236,-0.045556292,7.24,0.07335948944091797
102,1011,1084.342,-0.045556292,12.19,0.07902050018310547
103,1021,1277.2412,-0.045101322,14.28,0.078948974609375
104,1031,1402.0427,-0.041573763,15.639999,0.07816505432128906
105,1041,1492.9496,-0.041573763,16.63,0.07792448997497559
106,1051,1561.302,-0.041573763,17.359999,0.07838582992553711
107,1061,1639.6487,-0.041573763,18.21,0.07780909538269043
108,1071,1706.8777,-0.03904037,18.93,0.07853293418884277
109,1081,1770.2509,-0.028298363,19.609999,0.07772254943847656
