loop,iteration,qd_score,max_fitness,coverage,time
1,1,525.58716,-0.08325512,7.0599995,5.5829267501831055
2,11,1640.1985,-0.058098093,20.61,1.5708558559417725
3,21,2336.7935,-0.045952886,28.349998,1.537496566772461
4,31,2894.6494,-0.046199575,34.34,1.5387303829193115
5,41,3291.1934,-0.043823507,38.39,1.2774698734283447
6,51,3559.5632,-0.034768526,40.95,1.5468170642852783
7,61,3841.9355,-0.030026628,43.73,1.551415205001831
8,71,4039.224,-0.015757639,45.54,1.5375466346740723
9,81,4101.137,-0.017189316,45.85,1.4991281032562256
10,91,4232.517,-0.014028025,47.01,1.552098274230957
11,101,4344.1445,-0.013800449,47.98,1.5512566566467285
12,111,4409.175,-0.013653271,48.44,1.54838228225708
13,121,4418.368,-0.012291716,48.31,1.5653839111328125
14,131,4501.458,-0.00854275,49.019997,1.5793068408966064
15,141,4511.4336,-4.0793064e-05,48.96,1.5675461292266846
16,151,4552.062,0.00035661896,49.269997,1.5560417175292969
17,161,4618.446,-0.00013809284,49.879997,1.6029317378997803
18,171,4594.2812,0.0014802341,49.489998,1.2795634269714355
19,181,4636.174,0.0011978392,49.859997,1.5407600402832031
20,191,4612.424,0.0012497896,49.519997,1.3154349327087402
21,201,4596.958,0.0007586928,49.249996,1.4833848476409912
22,211,4651.1636,0.0020025023,49.789997,1.598766803741455
23,221,4678.036,0.001199349,50.010002,1.507148265838623
24,231,4614.8374,0.0012828873,49.28,1.4014770984649658
25,241,4625.293,0.0013811982,49.319996,1.4212074279785156
26,251,4605.4004,0.0012137388,49.079998,1.5646445751190186
27,261,4633.907,0.0018266755,49.329998,1.304802417755127
28,271,4599.31,0.0012246578,48.909996,1.5567615032196045
29,281,4583.771,0.0015196322,48.71,1.5530598163604736
30,291,4614.739,0.0012003572,49.01,1.5536046028137207
31,301,4584.3613,0.0015370059,48.649998,1.5930116176605225
32,311,4580.5107,0.0014715361,48.57,1.5591084957122803
33,321,4548.462,0.0012944327,48.2,1.5923984050750732
34,331,4597.9155,0.0023205138,48.71,1.5541815757751465
35,341,4613.3633,0.0019249133,48.859997,1.576263427734375
36,351,4563.5557,0.0014953926,48.3,1.5780339241027832
37,361,4579.9185,0.0013985327,48.45,1.5503389835357666
38,371,4562.003,0.0014333519,48.25,1.4027791023254395
39,381,4523.923,0.0011562549,47.829998,1.5674941539764404
40,391,4534.51,0.0012288834,47.92,1.5711188316345215
41,401,4515.7236,0.0014862213,47.7,1.5760083198547363
42,411,4563.185,0.001570086,48.19,1.5138154029846191
43,421,4511.525,0.0018335423,47.63,1.5754635334014893
44,431,4456.236,0.0016570915,47.039997,1.3100180625915527
45,441,4513.4624,0.002031601,47.64,1.5743577480316162
46,451,4504.387,0.0014237388,47.52,1.62068772315979
47,461,4522.414,0.0016687268,47.69,1.5883560180664062
48,471,4467.5044,0.001527786,47.1,1.3131494522094727
49,481,4471.305,0.0015648389,47.129997,1.0258877277374268
50,491,4487.3916,0.0014708757,47.289997,1.5592875480651855
51,501,4512.2534,0.0022821554,47.559998,1.379629373550415
52,511,1793.56,0.0013443875,21.289999,1.446760654449463
53,521,1917.6919,0.0013395469,23.619999,1.4866626262664795
54,531,1809.7451,0.0008986811,22.52,1.3141429424285889
55,541,1719.421,0.001419791,21.65,1.043431043624878
56,551,1612.172,-0.0002801976,20.32,1.5677151679992676
57,561,1536.5085,0.00062216993,19.43,1.4619274139404297
58,571,1490.7369,0.0005829743,18.94,0.9975361824035645
59,581,1441.6738,0.0004152653,18.32,1.278477430343628
60,591,1377.1382,0.0022033202,17.52,1.0032703876495361
61,601,1352.7498,0.00034611145,17.289999,1.2712554931640625
62,611,1295.9451,0.000854606,16.55,1.6296157836914062
63,621,1268.0151,0.00048351067,16.24,1.5885672569274902
64,631,1246.9192,0.0004067974,15.98,1.3022589683532715
65,641,1217.7126,0.0015678775,15.65,1.5703179836273193
66,651,1212.4025,0.00090909,15.58,1.13474702835083
67,661,1184.1093,0.00012243996,15.23,1.2635376453399658
68,671,1165.1716,0.00041810368,15.0199995,1.5543994903564453
69,681,1150.7166,0.00011777864,14.829999,1.5523641109466553
70,691,1133.5807,0.0011673818,14.58,1.561894178390503
71,701,1141.2157,-3.6808866e-05,14.7699995,1.0561892986297607
72,711,1132.561,0.0011062495,14.62,1.5705804824829102
73,721,1118.6342,-0.0005376139,14.469999,1.463024616241455
74,731,1097.2295,0.0006684066,14.18,1.2787363529205322
75,741,1095.8665,0.0005799905,14.18,1.5876026153564453
76,751,1079.377,-0.0004986926,13.99,1.001990795135498
77,761,821.4662,0.0006411271,10.04,1.3521406650543213
78,771,853.98566,-7.2923816e-05,10.69,1.5104975700378418
79,781,836.70795,0.00044322832,10.65,1.2418992519378662
80,791,851.203,-0.0018528486,10.99,1.2431867122650146
81,801,834.37024,0.00020349695,10.87,1.169405221939087
82,811,836.3058,-0.0013068169,11.0199995,1.4068405628204346
83,821,827.13416,-0.0038047878,10.96,1.5368480682373047
84,831,809.2763,-0.0039541437,10.799999,1.0373756885528564
85,841,807.3648,-0.006457161,10.86,1.3617734909057617
86,851,772.84503,-0.007387653,10.4,0.9861190319061279
87,861,777.20325,-0.006734408,10.51,1.1336772441864014
88,871,777.0491,-0.006726713,10.55,1.2157220840454102
89,881,771.03754,-0.007976846,10.47,1.4790074825286865
90,891,760.6027,-0.006863842,10.37,0.9464154243469238
91,901,760.67456,-0.0074476893,10.4,1.1325345039367676
92,911,758.54944,-0.0111735165,10.42,1.2134544849395752
93,921,761.2659,-0.010022576,10.43,1.1620917320251465
94,931,747.54614,-0.010589419,10.25,0.9522027969360352
95,941,735.3977,-0.010175284,10.12,0.9977245330810547
96,951,733.7863,-0.009849646,10.12,1.516580581665039
97,961,739.5634,-0.010598322,10.2,1.4262316226959229
98,971,743.8351,-0.032737896,10.309999,1.3144357204437256
99,981,732.56104,-0.033314317,10.16,1.3127427101135254
100,991,734.8183,-0.03341721,10.23,0.990562915802002
101,1001,733.494,-0.03385815,10.219999,1.5335679054260254
102,1011,895.84515,0.0004563544,11.5199995,1.0006797313690186
103,1021,940.70337,-0.00020503587,12.17,1.193211555480957
104,1031,982.41473,0.0007099298,12.82,1.2581512928009033
105,1041,1004.88293,0.00080477213,13.22,1.260054349899292
106,1051,979.77454,-5.7106954e-06,12.94,1.551548957824707
107,1061,959.0436,9.230152e-05,12.719999,1.291489601135254
108,1071,942.2372,0.0004916858,12.57,1.5405025482177734
109,1081,945.40643,0.0016540885,12.700001,1.1654789447784424
110,1091,938.8251,0.00015520566,12.65,1.418140172958374
111,1101,921.0383,0.00044955328,12.469999,0.9983642101287842
112,1111,926.0382,8.019525e-05,12.619999,1.0431466102600098
113,1121,911.09143,-0.00015152052,12.429999,0.9963171482086182
114,1131,892.3865,-0.0006797371,12.219999,1.262730360031128
115,1141,908.4283,0.00048770432,12.51,1.5343499183654785
116,1151,902.67004,0.001259848,12.459999,1.5523624420166016
117,1161,893.7496,0.0005336122,12.32,1.0627408027648926
118,1171,897.51935,0.00069989235,12.429999,1.446439504623413
119,1181,890.4417,-0.00026945432,12.36,1.4071311950683594
120,1191,894.7618,0.00015284124,12.45,1.5913403034210205
121,1201,881.8238,0.00093847635,12.2699995,1.5376200675964355
122,1211,881.49426,-0.00026166666,12.299999,1.5392839908599854
123,1221,884.49677,-0.0009265804,12.329999,1.2690131664276123
124,1231,882.8053,0.00079007307,12.299999,1.8627054691314697
125,1241,867.368,-0.0005549157,12.09,1.507375955581665
126,1251,884.34344,0.0008846164,12.37,1.583913803100586
127,1261,1132.8586,0.0009597059,12.92,1.5906400680541992
128,1271,1209.9445,0.001169846,14.129999,1.5497901439666748
129,1281,1215.1735,0.00032831193,14.43,1.4714696407318115
130,1291,1184.1903,0.00032421807,14.280001,0.9904899597167969
131,1301,1169.3383,0.00094258913,14.289999,1.3965046405792236
132,1311,1150.9905,0.0012687028,14.23,1.57460355758667
133,1321,1114.9478,-5.4965218e-05,13.9,1.587951898574829
134,1331,1090.7964,0.0016092127,13.679999,1.0923969745635986
135,1341,1058.6577,0.00037464825,13.36,1.0439856052398682
136,1351,1051.6554,0.0012164084,13.329999,1.0737671852111816
137,1361,1045.426,0.0003153687,13.31,1.2513210773468018
138,1371,1006.94604,6.934519e-05,12.87,1.3485691547393799
139,1381,992.8208,0.0001007785,12.709999,1.5666344165802002
140,1391,982.6069,8.554272e-05,12.610001,1.7118608951568604
141,1401,965.96545,0.00049244036,12.44,1.2528619766235352
142,1411,955.0611,-0.000118534655,12.299999,1.2966070175170898
143,1421,953.39966,-2.992383e-05,12.349999,1.1936523914337158
144,1431,948.56146,-0.0001899161,12.309999,1.465500831604004
145,1441,952.15063,0.00029935339,12.389999,1.3838446140289307
146,1451,953.5364,-0.00095898844,12.459999,1.603259801864624
147,1461,934.36334,-0.0004357017,12.179999,1.757089376449585
148,1471,939.9498,-0.0010092999,12.299999,1.5966191291809082
149,1481,937.1959,-0.0013637424,12.249999,1.606513261795044
150,1491,928.5842,-0.0015595355,12.12,1.455657958984375
151,1501,925.0984,-0.0013853755,12.08,1.1017944812774658
152,1511,686.1873,0.0008132247,7.53,1.5169556140899658
153,1521,701.85156,-0.0003062804,7.7299995,1.4234116077423096
154,1531,722.73566,0.00034420541,7.9799995,1.2468347549438477
155,1541,740.39,-0.00017926653,8.2,1.352097988128662
156,1551,733.37305,0.00025592034,8.150001,1.4330353736877441
157,1561,736.1058,-0.0004411044,8.18,1.283949375152588
158,1571,744.3993,-0.00043759833,8.299999,1.5833239555358887
159,1581,750.9814,-0.00075237016,8.379999,1.5737793445587158
160,1591,743.0126,-0.00074920163,8.309999,1.7770731449127197
161,1601,754.84,-0.0009013006,8.469999,1.297032117843628
162,1611,748.4274,-0.0004728307,8.389999,1.5434930324554443
163,1621,746.6795,-0.00042981445,8.379999,1.254469633102417
164,1631,753.5649,-0.0010197631,8.46,1.2216508388519287
165,1641,761.4291,-0.0008669988,8.559999,1.5813157558441162
166,1651,759.91736,-0.0016660851,8.549999,1.2621655464172363
167,1661,776.2153,-0.0011264153,8.74,1.7932558059692383
168,1671,761.16016,-0.00087816967,8.57,1.451460361480713
169,1681,767.6587,-0.0008405335,8.639999,1.2970387935638428
170,1691,753.0768,-0.0009990565,8.49,1.3407549858093262
171,1701,753.3998,-0.0016231977,8.49,1.5554747581481934
172,1711,765.4633,-0.0013474652,8.63,1.3835172653198242
173,1721,760.0075,-0.0017044384,8.58,1.4207334518432617
174,1731,770.43115,-0.0017061406,8.679999,1.433203935623169
175,1741,765.6683,-0.0011191951,8.65,1.4398646354675293
176,1751,764.1415,2.619112e-05,8.65,1.276710033416748
177,1761,342.8347,0.0019881327,3.7299998,1.7736961841583252
