loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,448.66733,-0.1121072,5.98,5.47153,26.752386,6.3414506912231445
2,11,766.8895,-0.082582586,10.04,9.122816,45.114037,5.0565760135650635
3,21,1035.1211,-0.07615249,13.4,12.121001,60.296974,5.698184967041016
4,31,1293.199,-0.07615249,16.57,14.932547,74.794014,5.871232748031616
5,41,1510.0835,-0.06545352,19.18,17.417603,86.726746,5.1036272048950195
6,51,1708.0674,-0.06545352,21.55,19.650349,97.32764,4.274216413497925
7,61,1915.7947,-0.04703355,24.01,21.917747,108.32666,4.4843714237213135
8,71,2093.6313,-0.04703355,26.06,23.769705,117.97978,8.391907930374146
9,81,2270.63,-0.04703355,28.109999,25.60483,127.302284,4.368277311325073
10,91,2430.4404,-0.04703355,29.92,27.17203,135.76685,5.283584117889404
11,101,2598.1526,-0.04703355,31.81,28.818033,144.17761,7.530946493148804
12,111,2739.8862,-0.04703355,33.41,30.289474,151.76434,6.3734211921691895
13,121,2878.9355,-0.04703355,34.96,31.643314,158.94556,6.272984743118286
14,131,3023.4937,-0.04703355,36.579998,33.0017,166.13327,8.655386447906494
15,141,3180.75,-0.03599456,38.329998,34.536713,174.34712,6.276611566543579
16,151,3329.1055,-0.03599456,39.989998,36.142807,181.88023,5.77922511100769
17,161,3460.9873,-0.03599456,41.43,37.424606,188.30513,4.701370477676392
18,171,3591.1553,-0.03599456,42.85,38.65652,194.7142,6.528016805648804
19,181,3714.0715,-0.03599456,44.19,39.763664,200.62753,6.56942343711853
20,191,3837.0627,-0.03599456,45.539997,41.01232,206.57655,9.494153499603271
21,201,3941.1406,-0.03599456,46.64,41.94992,211.41742,6.484247922897339
22,211,4047.4448,-0.03599456,47.789997,42.950844,216.64847,4.205532550811768
23,221,4153.1045,-0.03599456,48.92,44.0164,221.92119,8.471619606018066
24,231,4255.464,-0.03599456,50.02,45.064102,227.03687,6.061806678771973
25,241,4353.09,-0.03599456,51.05,46.011726,231.50159,6.178024768829346
26,251,4443.3916,-0.03599456,52.0,46.818016,236.2562,8.340466737747192
27,261,4538.59,-0.03599456,52.989998,47.831223,240.45636,5.1052961349487305
28,271,4622.779,-0.03599456,53.86,48.76439,244.298,6.277724981307983
29,281,4704.0474,-0.03599456,54.699997,49.614937,248.19952,7.405629873275757
30,291,4787.4355,-0.03599456,55.559998,50.372894,251.86475,6.268360376358032
31,301,4871.367,-0.03599456,56.43,51.11032,255.83868,4.652811527252197
32,311,4935.895,-0.03599456,57.059998,51.590202,258.51935,7.424720525741577
33,321,5017.591,-0.032807376,57.899998,52.292,262.34454,6.135030269622803
34,331,5088.602,-0.032807376,58.62,52.95074,265.5567,5.3774731159210205
35,341,5159.3506,-0.032807376,59.329998,53.653946,268.55865,6.108577489852905
36,351,5219.7773,-0.032807376,59.93,54.201492,271.11768,6.161010265350342
37,361,5300.927,-0.032807376,60.76,54.959213,274.90063,5.862084150314331
38,371,5368.2197,-0.032807376,61.43,55.5796,277.96973,7.435008764266968
39,381,5425.2266,-0.032807376,61.989998,56.12263,280.3507,6.763974905014038
40,391,5482.262,-0.029462626,62.53,56.555157,282.64075,5.158840179443359
41,401,5532.0957,-0.029462626,63.0,56.974594,285.08545,8.726097345352173
42,411,5584.6797,-0.029462626,63.5,57.55083,287.48438,5.485619783401489
43,421,5640.143,-0.029462626,64.02,58.018074,289.6405,5.858781337738037
44,431,5676.1753,-0.029462626,64.33,58.256058,291.21378,7.121265172958374
45,441,5723.085,-0.02610316,64.76,58.629726,292.91925,5.202033042907715
46,451,5772.5913,-0.02610316,65.22,58.950935,294.80344,6.49983549118042
47,461,5811.3203,-0.02610316,65.57,59.298256,296.6753,6.435280799865723
