loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,441.037,-0.10317088,5.85,0.0,4.175678e-05,1.682239055633545
2,11,773.6396,-0.09432696,10.12,0.0,7.293746e-05,0.541459321975708
3,21,1034.7368,-0.08293522,13.409999,0.0,9.642169e-05,0.5399930477142334
4,31,1286.6653,-0.08293522,16.51,0.0,0.00011964515,0.5414464473724365
5,41,1502.3081,-0.06789175,19.119999,0.0,0.00014161319,0.555699348449707
6,51,1708.104,-0.06789175,21.599998,0.0,0.00016155466,0.5605273246765137
7,61,1878.7639,-0.06789175,23.6,0.0,0.00017796457,0.5650577545166016
8,71,2084.5837,-0.06789175,26.06,0.0,0.00019926578,0.5428214073181152
9,81,2265.6562,-0.055533655,28.18,0.0,0.00021782517,0.5442464351654053
10,91,2410.245,-0.055533655,29.83,0.0,0.00023091212,0.5426545143127441
11,101,2571.8818,-0.055533655,31.7,0.0,0.00024417043,0.5481011867523193
12,111,2737.2734,-0.055533655,33.609997,0.0,0.00025942922,0.5642132759094238
13,121,2881.9675,-0.055533655,35.25,0.0,0.00027513877,0.5764682292938232
14,131,3018.7742,-0.02198495,36.78,0.0,0.00028820336,0.5509288311004639
15,141,3158.041,-0.02198495,38.36,0.0,0.000300508,0.5412757396697998
16,151,3283.6418,-0.02198495,39.78,0.0,0.0003093183,0.5426132678985596
17,161,3392.275,-0.02198495,40.96,0.0,0.00031815842,0.5673098564147949
18,171,3505.6904,-0.02198495,42.19,0.0,0.00032856315,0.5561470985412598
19,181,3614.9094,-0.02198495,43.379997,0.0,0.0003380552,0.5493395328521729
20,191,3714.8694,-0.02198495,44.47,0.0,0.00034916773,0.5579724311828613
21,201,3821.0203,-0.02198495,45.6,0.0,0.00035888702,0.5431251525878906
22,211,3940.079,-0.02198495,46.92,0.0,0.00037035905,0.5439026355743408
23,221,4035.7808,-0.02198495,47.93,0.0,0.00037738495,0.5461375713348389
24,231,4123.753,-0.02198495,48.839996,0.0,0.00038408674,0.5621058940887451
25,241,4217.6367,-0.02198495,49.829998,0.0,0.0003938023,0.5577070713043213
26,251,4297.129,-0.02198495,50.64,0.0,0.00040037744,0.5886287689208984
27,261,4377.307,-0.02198495,51.46,0.0,0.00040887482,0.543043851852417
28,271,4458.7314,-0.02198495,52.309998,0.0,0.00041652657,0.543525218963623
29,281,4535.63,-0.02198495,53.09,0.0,0.00042406656,0.5464494228363037
30,291,4600.6953,-0.02198495,53.73,0.0,0.0004288517,0.5916755199432373
31,301,4675.125,-0.02198495,54.469997,0.0,0.00043737516,0.5866537094116211
32,311,4739.3257,-0.02198495,55.11,0.0,0.00044264644,0.5439684391021729
33,321,4810.3286,-0.02198495,55.82,0.0,0.00044811144,0.5510783195495605
34,331,4867.8257,-0.02198495,56.39,0.0,0.000452118,0.5429611206054688
35,341,4933.319,-0.02198495,57.04,0.0,0.0004566498,0.5412371158599854
36,351,4988.239,-0.021613436,57.559998,0.0,0.00046161935,0.5407712459564209
37,361,5058.8457,-0.021613436,58.27,0.0,0.00046707317,0.557138204574585
38,371,5123.364,-0.021613436,58.919994,0.0,0.00047197938,0.5583927631378174
39,381,5180.1377,-0.021613436,59.48,0.0,0.0004753843,0.5583891868591309
40,391,5234.3867,-0.021613436,59.999996,0.0,0.00047915056,0.5512304306030273
41,401,5295.617,-0.021613436,60.59,0.0,0.00048454478,0.5516443252563477
42,411,5342.904,-0.011339924,61.01,0.0,0.0004889332,0.555180549621582
43,421,5388.4883,-0.011339924,61.44,0.0,0.00049244426,0.5645620822906494
44,431,5449.1104,-0.011339924,62.03,0.0,0.00049737655,0.5518715381622314
45,441,5496.0767,-0.011339924,62.47,0.0,0.00050171465,0.5685994625091553
46,451,5544.2393,-0.011339924,62.92,0.0,0.0005063135,0.5485942363739014
47,461,5581.1006,-0.011339924,63.239998,0.0,0.00050971285,0.5484936237335205
48,471,5633.328,-0.011339924,63.739998,0.0,0.0005135294,0.5698623657226562
49,481,5674.1323,-0.011339924,64.11,0.0,0.00051696226,0.5633447170257568
50,491,5719.035,-0.011339924,64.54,0.0,0.0005197711,0.5525102615356445
51,501,5758.563,-0.011339924,64.92,0.0,0.000522824,0.5494351387023926
52,511,5797.0615,-0.011339924,65.270004,0.0,0.00052493997,0.5481646060943604
53,521,5840.0,-0.011339924,65.68,0.0,0.0005281959,0.5492322444915771
54,531,5881.0103,-0.010292003,66.07,0.0,0.0005320031,0.5559964179992676
55,541,5913.4,-0.010292003,66.369995,0.0,0.0005344022,0.5596938133239746
56,551,5947.1953,-0.010292003,66.67999,0.0,0.0005364064,0.5510153770446777
57,561,5974.8447,-0.010292003,66.909996,0.0,0.0005375575,0.5651090145111084
58,571,6009.9375,-0.010292003,67.24,0.0,0.00053951703,0.5535497665405273
59,581,6044.5586,-0.010292003,67.549995,0.0,0.00054140016,0.5452933311462402
60,591,6071.3813,-0.010292003,67.78,0.0,0.00054436084,0.5533719062805176
61,601,6107.8413,-0.010292003,68.119995,0.0,0.0005462384,0.5536403656005859
62,611,6133.7188,-0.010292003,68.329994,0.0,0.00054663885,0.5486917495727539
63,621,6158.327,-0.010292003,68.54,0.0,0.0005467152,0.5624961853027344
64,631,6176.4756,-0.010292003,68.67,0.0,0.00054784585,0.5560886859893799
65,641,6203.38,-0.010292003,68.9,0.0,0.0005487511,0.5471093654632568
66,651,6235.207,-0.010292003,69.21,0.0,0.00054970477,0.5765681266784668
67,661,6263.0234,-0.0006747352,69.46,0.0,0.0005523944,0.5584290027618408
68,671,6289.3813,-0.0006747352,69.7,0.0,0.00055461284,0.5527811050415039
69,681,6306.297,-0.0006747352,69.82,0.0,0.0005548941,0.5698299407958984
70,691,6330.24,-0.0006747352,70.02,0.0,0.00055678654,0.5591170787811279
71,701,6350.3794,-0.0006747352,70.18,0.0,0.00055757817,0.560675859451294
72,711,6372.8696,-0.0006747352,70.37,0.0,0.00055869203,0.5587079524993896
73,721,6390.774,-0.0006747352,70.52,0.0,0.00055995863,0.5482063293457031
74,731,6407.2,-0.0006747352,70.65,0.0,0.00056077447,0.5484435558319092
75,741,6428.0625,-0.0006747352,70.82,0.0,0.0005642148,0.5602586269378662
76,751,6452.048,-0.0006747352,71.04,0.0,0.000566178,0.5521256923675537
77,761,6470.1426,-0.0006747352,71.19,0.0,0.0005676942,0.546241044998169
78,771,6493.784,-0.0006747352,71.39,0.0,0.0005691992,0.5506672859191895
79,781,6516.3506,-0.0006747352,71.590004,0.0,0.00057072844,0.549332857131958
80,791,6532.29,-0.0006747352,71.71,0.0,0.0005712928,0.5459511280059814
81,801,6551.866,-0.0006747352,71.88,0.0,0.00057093333,0.5507950782775879
82,811,6566.5903,-0.0006747352,72.0,0.0,0.0005702479,0.5563738346099854
83,821,6579.5776,-0.0006747352,72.1,0.0,0.000571209,0.5529356002807617
84,831,6590.1533,-0.0006747352,72.17,0.0,0.0005713897,0.5592286586761475
85,841,6609.626,-0.0006747352,72.35,0.0,0.0005736444,0.5432784557342529
86,851,6625.595,-0.0006747352,72.479996,0.0,0.00057468936,0.5482690334320068
87,861,6639.1963,-0.0006747352,72.579994,0.0,0.0005764589,0.5626263618469238
88,871,6653.7705,-0.0006747352,72.689995,0.0,0.0005779099,0.5641269683837891
89,881,6668.293,-0.0006747352,72.81,0.0,0.0005789213,0.5507440567016602
90,891,6683.5283,0.0,72.939995,0.0,0.0005799439,0.5549497604370117
91,901,6698.0283,0.0,73.06,0.0,0.00057967566,0.5504932403564453
92,911,6705.6416,0.0,73.10999,0.0,0.0005799895,0.5535316467285156
93,921,6716.955,0.0,73.189995,0.0,0.0005811257,0.563025712966919
94,931,6728.287,0.0,73.27,0.0,0.00058146846,0.5723943710327148
95,941,6740.016,0.0,73.35999,0.0,0.0005814852,0.5509560108184814
96,951,6752.8315,0.0,73.46,0.0,0.00058295485,0.5473031997680664
97,961,6761.7266,0.0,73.52,0.0,0.0005834652,0.5478463172912598
98,971,6773.1855,0.0,73.60999,0.0,0.00058422517,0.5488259792327881
99,981,6786.371,0.0,73.71999,0.0,0.00058478396,0.5608193874359131
100,991,6794.9395,0.0,73.77,0.0,0.0005857097,0.5745606422424316
101,1001,6803.464,0.0,73.82,0.0,0.000586248,0.548065185546875
102,1011,6810.912,0.0,73.869995,0.0,0.0005867919,0.5527932643890381
