loop,iteration,qd_score,max_fitness,coverage,std_fitness,std_bd,time
1,1,397.8244,-0.11458245,5.27,5.246231,26.247751,5.678042888641357
2,11,640.11646,-0.08510633,8.32,8.282373,41.44742,1.1850371360778809
3,21,830.7794,-0.075122155,10.65,10.617304,53.15445,1.1675398349761963
4,31,1013.3773,-0.07662084,12.83,12.791431,63.94655,0.9396975040435791
5,41,1152.6821,-0.06883284,14.469999,14.441469,72.2394,1.5339288711547852
6,51,1310.3987,-0.064027876,16.34,16.306059,81.61397,1.197002649307251
7,61,1456.4591,-0.04524179,18.05,17.986658,89.878555,1.470177173614502
8,71,1556.1895,-0.045276232,19.119999,19.068855,95.42814,1.190136432647705
9,81,1685.4252,-0.04595276,20.58,20.501625,102.64617,0.9171087741851807
10,91,1784.6307,-0.045328625,21.689999,21.610638,108.0664,1.6272552013397217
11,101,1889.0813,-0.046140257,22.849998,22.816658,113.887314,1.0266218185424805
12,111,2000.1589,-0.046674296,24.1,24.028343,120.07753,1.4093060493469238
13,121,2086.8608,-0.04612202,25.09,24.997997,125.11366,1.632932424545288
14,131,2169.1313,-0.045500077,25.96,25.882011,129.65636,1.4178495407104492
15,141,2306.9834,-0.032798428,27.5,27.417953,137.19278,1.5049967765808105
16,151,2383.386,-0.033527445,28.32,28.243599,141.14932,1.1607794761657715
17,161,2489.287,-0.032751735,29.499998,29.415548,146.98602,1.6062431335449219
18,171,2544.188,-0.032537982,30.050001,29.967735,149.83936,1.5722854137420654
19,181,2647.6238,-0.03277327,31.2,31.082119,155.56422,1.1402606964111328
20,191,2684.0986,-0.033313166,31.52,31.402237,157.12868,1.4938364028930664
21,201,2762.402,-0.033189382,32.36,32.275265,161.27542,0.9932229518890381
22,211,2853.4211,-0.032670934,33.359997,33.245262,166.36894,1.3747644424438477
23,221,2898.8594,-0.032485075,33.809998,33.67413,168.55121,1.1612820625305176
24,231,2962.231,-0.033779968,34.46,34.386982,171.85623,1.546398401260376
25,241,3039.311,-0.032907914,35.29,35.17375,175.92172,1.281449556350708
26,251,3085.5874,-0.03232183,35.75,35.67796,178.20174,1.3172225952148438
27,261,3111.6448,-0.031933196,35.98,35.865143,179.47559,1.3011393547058105
28,271,3157.0903,-0.03269474,36.42,36.30713,181.59705,1.586667776107788
29,281,3234.1616,-0.03290332,37.23,37.18289,185.65714,1.4730877876281738
30,291,3280.7717,-0.032361798,37.719997,37.62091,188.02725,1.6064698696136475
31,301,3323.3276,-0.03266717,38.13,37.98107,190.0653,1.0290393829345703
32,311,3349.3728,-0.033436857,38.35,38.243916,191.21283,1.595785140991211
33,321,3394.7222,-0.029622106,38.82,38.702873,193.4441,1.5872747898101807
34,331,3449.5977,-0.02910655,39.36,39.223892,196.23714,1.4885132312774658
35,341,3468.9077,-0.030437697,39.51,39.398956,196.94308,1.331995964050293
36,351,3492.7727,-0.030181117,39.71,39.600624,197.85968,1.4442574977874756
37,361,3567.0574,-0.030165434,40.53,40.381187,202.07426,1.5435726642608643
38,371,3576.5913,-0.030684562,40.579998,40.470295,202.42702,1.710017204284668
39,381,3608.225,-0.029773258,40.879997,40.740532,203.73163,1.5285024642944336
40,391,3654.9536,-0.029750964,41.31,41.150116,205.75308,1.5891313552856445
41,401,3675.0286,-0.029965566,41.489998,41.32923,206.81061,1.5082242488861084
42,411,3730.9434,-0.030364493,42.03,41.88026,209.57185,1.4084603786468506
43,421,3713.8428,-0.030406829,41.79,41.71621,208.28291,1.5471374988555908
44,431,3746.9067,-0.029784963,42.1,41.95361,209.75055,1.5728204250335693
45,441,3775.907,-0.02557078,42.37,42.27957,211.17487,1.2034318447113037
46,451,3769.1665,-0.024771357,42.23,42.135586,210.5119,1.546509027481079
47,461,3826.039,-0.025033016,42.819996,42.69758,213.47151,1.4902856349945068
48,471,3867.3286,-0.02588758,43.23,43.092308,215.35223,1.423520565032959
49,481,3832.8086,-0.025714839,42.8,42.656948,213.33221,1.5436608791351318
50,491,3901.2004,-0.025957458,43.519997,43.367195,217.05882,1.5004312992095947
51,501,3914.2107,-0.02520171,43.579998,43.402634,217.35869,1.2681491374969482
52,511,3973.9585,-0.025672022,44.219997,44.060406,220.4209,1.8628971576690674
53,521,3954.5752,-0.025044743,43.94,43.78345,219.06857,1.4761848449707031
54,531,3982.7864,-0.025324889,44.21,44.094704,220.4143,1.3963403701782227
55,541,3998.5256,-0.025972724,44.35,44.228134,220.9438,1.5473809242248535
56,551,4025.5942,-0.02495775,44.6,44.471973,222.34769,1.378333568572998
57,561,4012.9124,-0.026435148,44.43,44.295933,221.46335,1.4589269161224365
58,571,4080.5588,-0.023796666,45.13,44.976135,224.61938,1.479219913482666
59,581,4072.3787,-0.024361854,45.01,44.91849,224.45007,1.4220898151397705
60,591,4074.42,-0.02389356,44.98,44.854473,224.12802,1.3533716201782227
61,601,4075.6008,-0.025189888,44.95,44.849117,224.14284,1.5774078369140625
62,611,4099.863,-0.025306746,45.18,45.009083,225.25726,1.417484998703003
63,621,4112.2695,-0.025387205,45.28,45.12133,225.59354,1.2853951454162598
64,631,4120.9795,-0.024100984,45.33,45.2407,226.0267,1.0317707061767578
65,641,4146.2285,-0.02468511,45.57,45.4228,226.95892,1.4122180938720703
66,651,4167.183,-0.02519475,45.769997,45.643463,228.09436,1.2884125709533691
67,661,4168.7646,-0.02404022,45.76,45.669167,228.19644,1.4048876762390137
68,671,4178.957,-0.022673707,45.839996,45.695145,228.38493,1.2316761016845703
69,681,4177.729,-0.023894541,45.8,45.705513,228.28653,1.6064159870147705
70,691,4205.4385,-0.02426061,46.059998,45.916176,229.8976,1.7106432914733887
71,701,4191.0083,-0.024138503,45.87,45.734417,228.6538,1.4721524715423584
72,711,4197.836,-0.02394568,45.899998,45.7675,228.74716,1.541661024093628
73,721,4235.701,-0.023377167,46.289997,46.129715,230.94794,1.5236496925354004
74,731,4276.1445,-0.024098732,46.71,46.566998,232.84229,1.4638690948486328
75,741,4217.2617,-0.024071572,46.03,45.885498,229.64699,1.6681721210479736
76,751,4311.2734,-0.023630518,47.05,46.936394,234.51349,1.452178955078125
77,761,4283.3984,-0.023696031,46.73,46.57527,232.94263,1.488814115524292
